Time (ns),Atom id,Diffusion Coefficient (cm²/s)
10.0,7,0.277815
10.0,20,0.336253
10.0,28,0.210704
10.0,46,0.00572456
10.0,48,0.2678
10.0,73,0.335308
10.0,97,0.0
10.0,127,0.108245
10.0,136,0.196058
10.0,146,0.214846
10.0,205,0.0374224
10.0,218,0.267665
10.0,221,0.0170209
10.0,248,0.282451
10.0,260,0.266934
10.0,261,0.319052
10.0,267,0.215421
10.0,284,0.321482
20.0,25,0.153294
20.0,66,0.325761
20.0,97,0.00078112
20.0,109,0.0849583
20.0,158,0.13193
20.0,163,0.17161
20.0,168,0.285508
20.0,182,0.0866544
20.0,247,0.219636
20.0,266,0.0032687
20.0,274,0.252154
30.0,46,0.0157166
30.0,65,0.0957367
30.0,87,0.159973
30.0,97,0.00123319
30.0,127,0.21783
30.0,162,0.112087
30.0,167,0.259365
30.0,168,0.0122089
30.0,179,0.327511
30.0,279,0.103078
30.0,281,0.136425
40.0,25,0.332541
40.0,26,0.226106
40.0,39,0.290354
40.0,42,0.319334
40.0,58,0.318938
40.0,84,0.206111
40.0,97,0.00575384
40.0,136,0.269872
40.0,149,0.27365
40.0,168,0.0174079
40.0,179,0.189939
40.0,186,0.19755
40.0,212,0.215893
40.0,220,0.000972892
40.0,248,0.0538943
40.0,273,0.157665
50.0,10,0.151883
50.0,21,0.172273
50.0,46,0.0104371
50.0,97,0.0
50.0,113,0.278747
50.0,128,0.326969
50.0,151,0.00166021
50.0,168,0.00574945
50.0,170,0.0
50.0,178,0.167897
50.0,186,0.290613
50.0,192,0.0756367
50.0,194,0.241163
50.0,216,0.0829384
50.0,264,0.185995
60.0,6,0.310146
60.0,19,0.331097
60.0,38,0.0131012
60.0,67,0.130163
60.0,97,0.117697
60.0,109,0.0758623
60.0,118,0.231355
60.0,126,0.185436
60.0,168,0.00490078
60.0,216,0.202993
60.0,220,0.000180101
60.0,226,0.254549
70.0,15,0.251166
70.0,23,0.329961
70.0,34,0.242987
70.0,62,0.12745
70.0,73,0.116954
70.0,76,0.32122
70.0,97,0.00157593
70.0,104,0.1867
70.0,210,0.143742
70.0,234,0.261925
70.0,247,0.247935
70.0,258,0.0461602
70.0,259,0.113998
70.0,264,0.197338
70.0,273,0.0557475
70.0,279,0.240857
80.0,58,0.308481
80.0,97,0.0
80.0,148,0.0368997
80.0,159,0.0854514
80.0,175,0.185991
80.0,221,0.321655
80.0,223,0.111703
80.0,226,0.321588
80.0,238,0.249917
80.0,253,0.261955
80.0,257,0.270684
90.0,22,0.225586
90.0,26,0.0245221
90.0,72,0.0
90.0,97,0.000249353
90.0,125,0.030534
90.0,149,0.183456
90.0,168,0.0038271
90.0,207,0.334894
90.0,227,0.30654
90.0,231,0.145952
90.0,276,0.191664
90.0,283,0.23461
90.0,284,0.298363
100.0,57,0.287038
100.0,97,0.00548609
100.0,156,0.283685
100.0,168,0.0077859
100.0,173,0.189824
100.0,182,0.146961
100.0,184,0.253166
100.0,186,0.194716
100.0,213,0.172209
100.0,234,0.0
100.0,236,0.320283
100.0,252,0.049262
100.0,253,0.0211616
100.0,256,0.110289
100.0,257,0.240575
110.0,1,0.304282
110.0,4,0.28197
110.0,12,0.235469
110.0,21,0.147886
110.0,61,0.329987
110.0,99,0.0961338
110.0,121,0.0295985
110.0,152,0.076209
110.0,168,0.012943
110.0,175,0.316382
110.0,220,0.00335661
110.0,261,0.230285
120.0,46,0.00348596
120.0,74,0.265352
120.0,81,0.286615
120.0,83,0.185481
120.0,88,0.0
120.0,97,0.000989961
120.0,168,0.0339373
120.0,186,0.193984
120.0,203,0.0194938
120.0,208,0.26543
120.0,218,0.132969
120.0,264,0.134261
120.0,285,0.302416
130.0,84,0.32147
130.0,97,0.000306291
130.0,138,0.280627
130.0,143,0.321813
130.0,168,0.0135169
130.0,177,0.167561
130.0,183,0.277833
130.0,206,0.178619
130.0,218,0.186964
130.0,287,0.133932
140.0,9,0.312087
140.0,28,0.211096
140.0,121,0.335176
140.0,179,0.0371466
140.0,196,0.0226253
140.0,210,0.0818032
140.0,223,0.0179509
140.0,232,0.125229
140.0,237,0.265073
150.0,22,0.0155406
150.0,41,0.243025
150.0,46,0.00226819
150.0,56,0.149677
