Time (ns),<D> (1e-5 cm²/s),EE
10.0,2.669,0.336
20.0,2.7539,0.5578
30.0,2.7526,0.1182
40.0,2.7402,0.3248
50.0,2.4603,0.583
60.0,3.0055,0.4713
70.0,2.4196,0.683
80.0,2.6329,0.4783
90.0,2.9423,0.2163
100.0,2.8027,0.3385
110.0,2.8425,0.105
120.0,2.7287,0.6872
130.0,2.7828,0.5392
140.0,2.8883,0.2631
150.0,2.7399,0.1496
160.0,2.7334,0.5423
170.0,2.9822,0.2962
180.0,2.7336,0.4835
190.0,2.827,0.4669
200.0,2.7171,0.0434
210.0,2.7545,0.1711
220.0,2.8213,0.062
230.0,2.9289,0.0721
240.0,2.7927,0.3867
250.0,2.5777,0.3717
260.0,2.9499,0.3076
270.0,2.7217,0.5949
280.0,2.6757,0.6682
290.0,2.6293,0.517
300.0,2.9005,0.2148
310.0,2.7298,0.4999
320.0,2.7968,0.3933
330.0,2.5974,0.481
340.0,2.8036,0.1229
350.0,2.535,0.6161
360.0,2.721,0.3195
370.0,2.7601,0.2159
380.0,2.6299,0.6679
390.0,2.5899,0.1733
400.0,2.7487,0.0823
410.0,2.7212,0.2171
420.0,2.9786,0.3517
430.0,2.8891,0.2966
440.0,2.7728,0.122
450.0,2.8089,0.134
460.0,2.6529,0.1963
470.0,2.8084,0.2487
480.0,2.7403,0.4098
490.0,2.9972,0.1233
500.0,2.7818,0.2266
510.0,2.9075,0.0124
520.0,2.6309,0.2197
530.0,2.9093,0.0168
540.0,2.9663,0.6656
550.0,2.4244,0.6918
560.0,2.9199,0.4169
570.0,2.7563,0.3378
580.0,2.551,0.3968
590.0,2.6802,0.6289
600.0,2.5811,0.5536
610.0,2.7785,0.1934
620.0,2.5745,0.5553
630.0,2.4951,0.6603
640.0,2.7298,0.687
650.0,2.6104,0.6995
660.0,2.9434,0.0897
670.0,2.7212,0.6153
680.0,2.5118,0.5257
690.0,2.9602,0.1278
700.0,2.75,0.2984
710.0,2.7824,0.5468
720.0,2.7736,0.3824
730.0,3.1829,0.0186
740.0,2.7012,0.5634
750.0,2.522,0.508
760.0,2.533,0.5823
770.0,3.0102,0.1235
780.0,2.5655,0.338
790.0,2.9445,0.2787
800.0,2.9045,0.2016
810.0,2.9628,0.5381
820.0,2.8604,0.2894
830.0,2.73,0.2942
840.0,2.9625,0.1687
850.0,3.0731,0.0653
860.0,2.9271,0.1789
870.0,2.9161,0.3433
880.0,2.755,0.2367
890.0,3.0916,0.3948
900.0,2.4803,0.7135
910.0,2.5758,0.5886
920.0,2.8483,0.1512
930.0,2.9928,0.1945
940.0,2.6399,0.2001
950.0,2.8039,0.3696
960.0,2.9742,0.2632
970.0,2.7814,0.3641
980.0,2.4607,0.3372
990.0,2.9091,0.3384
1000.0,3.0732,0.1869
