Atom id,Diffusion Coefficient (cm²/s)
1,2.22568
2,1.94662
3,0.897778
4,3.33253
5,0.966061
6,5.80011
7,10.5299
8,0.833055
9,6.16871
10,0.48592
11,5.47833
12,4.36734
13,1.6905
14,0.443842
15,1.59237
16,1.9571
17,3.49067
18,2.62221
19,5.71472
20,1.29424
21,10.3539
22,5.56324
23,3.57133
24,0.83545
25,0.153294
26,4.51306
27,1.43913
28,0.777415
29,2.34754
30,0.563841
31,0.84276
32,1.58376
33,2.59215
34,1.41297
35,5.73037
36,4.67081
37,4.7526
38,0.560921
39,9.61692
40,3.68009
41,1.02797
42,6.74465
43,7.91393
44,2.84759
45,1.72737
46,3.78274
47,3.20541
48,6.16961
49,4.50604
50,0.751052
51,1.39289
52,4.65229
53,2.5444
54,1.9369
55,2.24962
56,4.0413
57,3.05346
58,1.39572
59,0.540785
60,1.33101
61,4.55532
62,0.69976
63,1.31911
64,1.92249
65,5.71247
66,0.325761
67,3.85297
68,3.81009
69,1.42303
70,0.74746
71,1.3255
72,5.12446
73,1.6331
74,0.722106
75,2.64359
76,1.8697
77,3.29824
78,2.41764
79,8.75715
80,3.4402
81,4.42111
82,1.08829
83,5.27765
84,3.8772
85,6.07676
86,12.5092
87,6.03721
88,1.37682
89,5.01901
90,10.6186
91,9.28832
92,3.64325
93,1.91113
94,0.714739
95,0.940585
96,3.4632
97,0.00078112
98,1.06871
99,1.3612
100,1.55028
101,7.18332
102,3.72721
103,0.731548
104,1.72842
105,0.912241
106,1.27287
107,3.28896
108,9.40365
109,0.0849583
110,5.67252
111,2.79151
112,1.58047
113,1.21902
114,5.46894
115,1.0926
116,7.23489
117,4.94242
118,3.72706
119,0.743906
120,1.34713
121,4.43698
122,3.37853
123,0.594134
124,3.35984
125,1.36189
126,5.48657
127,1.61064
128,3.98922
129,0.456768
130,2.42421
131,1.06561
132,10.9113
133,1.58818
134,9.07244
135,2.66585
136,12.0935
137,0.99072
138,1.80014
139,1.26181
140,2.27092
141,4.95228
142,2.89881
143,3.34831
144,5.82316
145,0.749971
146,4.51177
147,6.56164
148,6.49203
149,4.49133
150,0.381282
151,1.34343
152,3.72911
153,1.5715
154,4.33558
155,2.59093
156,3.31973
157,3.50837
158,0.13193
159,2.28398
160,3.73614
161,1.74299
162,4.60806
163,0.17161
164,2.23174
165,0.597846
166,2.23565
167,3.7503
168,0.285508
169,3.4336
170,4.56269
171,0.692365
172,4.51115
173,4.71022
174,1.36548
175,4.46966
176,2.02289
177,0.74305
178,0.461337
179,1.61938
180,2.65011
181,3.89031
182,0.0866544
183,0.843275
184,2.35628
185,9.94066
186,1.1644
187,5.01709
188,5.05352
189,1.22101
190,7.57569
191,5.10362
192,3.33286
193,4.75522
194,5.2955
195,1.53369
196,4.22922
197,0.858233
198,5.69626
199,2.57113
200,3.50271
201,3.2996
202,5.58277
203,4.73672
204,1.76721
205,3.70548
206,2.69096
207,1.44518
208,1.3514
209,3.12754
210,4.50397
211,4.45631
212,5.61667
213,5.87609
214,7.55536
215,4.55629
216,2.76655
217,0.811112
218,3.97644
219,6.54995
220,1.56163
221,1.30493
222,5.78653
223,1.5107
224,7.81815
225,1.45097
226,2.16157
227,3.61581
228,2.47417
229,1.21198
230,4.54363
231,3.18876
232,3.23425
233,3.15849
234,2.05049
235,2.37913
236,3.74846
237,2.60666
238,1.62298
239,3.57642
240,1.79618
241,2.16821
242,1.65341
243,2.26945
244,1.9669
245,8.8447
246,0.72781
247,0.219636
248,5.70939
249,1.73571
250,2.42114
251,1.43736
252,1.92191
253,4.55381
254,2.04825
255,2.40633
256,0.935593
257,0.508268
258,1.30026
259,2.14176
260,1.80397
261,0.948995
262,1.19587
263,1.11902
264,8.84416
265,6.5951
266,0.0032687
267,3.26247
268,0.686381
269,2.33037
270,1.82511
271,6.42083
272,6.53615
273,4.08852
274,0.252154
275,1.27561
276,4.29973
277,6.88048
278,2.54272
279,0.993017
280,0.946865
281,3.47025
282,1.7426
283,1.57949
284,3.45651
285,1.16259
286,4.34084
287,1.08657
288,4.07104
