Time (ns),GROMACS id
10,90379
10,90392
10,90400
10,90418
10,90420
10,90445
10,90469
10,90499
10,90508
10,90518
10,90577
10,90590
10,90593
10,90620
10,90632
10,90633
10,90639
10,90656
20,90397
20,90438
20,90469
20,90481
20,90530
20,90535
20,90540
20,90554
20,90619
20,90638
20,90646
30,90418
30,90437
30,90459
30,90469
30,90499
30,90534
30,90539
30,90540
30,90551
30,90651
30,90653
40,90397
40,90398
40,90411
40,90414
40,90430
40,90456
40,90469
40,90508
40,90521
40,90540
40,90551
40,90558
40,90584
40,90592
40,90620
40,90645
50,90382
50,90393
50,90418
50,90469
50,90485
50,90500
50,90523
50,90540
50,90542
50,90550
50,90558
50,90564
50,90566
50,90588
50,90636
60,90378
60,90391
60,90410
60,90439
60,90469
60,90481
60,90490
60,90498
60,90540
60,90588
60,90592
60,90598
70,90387
70,90395
70,90406
70,90434
70,90445
70,90448
70,90469
70,90476
70,90582
70,90606
70,90619
70,90630
70,90631
70,90636
70,90645
70,90651
80,90430
80,90469
80,90520
80,90531
80,90547
80,90593
80,90595
80,90598
80,90610
80,90625
80,90629
90,90394
90,90398
90,90444
90,90469
90,90497
90,90521
90,90540
90,90579
90,90599
90,90603
90,90648
90,90655
90,90656
100,90429
100,90469
100,90528
100,90540
100,90545
100,90554
100,90556
100,90558
100,90585
100,90606
100,90608
100,90624
100,90625
100,90628
100,90629
110,90373
110,90376
110,90384
110,90393
110,90433
110,90471
110,90493
110,90524
110,90540
110,90547
110,90592
110,90633
120,90418
120,90446
120,90453
120,90455
120,90460
120,90469
120,90540
120,90558
120,90575
120,90580
120,90590
120,90636
120,90657
130,90456
130,90469
130,90510
130,90515
130,90540
130,90549
130,90555
130,90578
130,90590
130,90659
140,90381
140,90400
140,90493
140,90551
140,90568
140,90582
140,90595
140,90604
140,90609
150,90394
150,90413
150,90418
150,90428
150,90444
150,90469
150,90476
150,90540
150,90573
150,90617
160,90380
160,90412
160,90427
160,90469
160,90547
160,90554
160,90581
160,90587
160,90595
160,90602
160,90613
160,90635
160,90654
170,90418
170,90432
170,90462
170,90463
170,90469
170,90475
170,90534
170,90542
170,90549
180,90400
180,90423
180,90436
180,90450
180,90469
180,90502
180,90505
180,90540
180,90578
180,90597
180,90618
180,90640
190,90375
190,90399
190,90414
190,90463
190,90469
190,90556
190,90568
200,90382
200,90442
200,90458
200,90467
200,90469
200,90479
200,90512
200,90542
200,90577
200,90625
200,90642
