Time (ns),trace,xx,yy,zz,yx,zx,zy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.11571,0.716504,0.722658,0.676544,0.00223236,-0.00242445,-0.00293802
0.2,4.19181,1.42757,1.44207,1.32217,-0.00133546,-0.0142075,-0.00822076
0.3,6.22599,2.12457,2.14557,1.95585,-0.00835275,-0.0319716,-0.0113451
0.4,8.21244,2.80889,2.83749,2.56606,-0.0159333,-0.0451836,-0.0146179
0.5,10.175,3.47465,3.53648,3.16385,-0.0166204,-0.0489905,-0.0169446
0.6,12.0764,4.12541,4.21382,3.73717,-0.0187437,-0.0583033,-0.0257197
0.7,13.9695,4.78392,4.89193,4.29365,-0.0151004,-0.0610837,-0.0321622
0.8,15.8285,5.42385,5.56916,4.83552,-0.0212814,-0.0621881,-0.0465105
0.9,17.6911,6.06869,6.25319,5.3692,-0.0258752,-0.0621903,-0.0591071
1.0,19.5415,6.70881,6.93714,5.89556,-0.0355257,-0.0836283,-0.0741775
1.1,21.3714,7.3433,7.61435,6.41378,-0.04502,-0.103889,-0.0909235
1.2,23.183,7.97401,8.28157,6.92745,-0.0527232,-0.125849,-0.115033
1.3,24.9734,8.59995,8.94749,7.42592,-0.0538079,-0.149469,-0.13963
1.4,26.7693,9.23409,9.61766,7.91758,-0.0528884,-0.182261,-0.157961
1.5,28.5458,9.86676,10.2706,8.40848,-0.0521964,-0.209063,-0.178397
1.6,30.314,10.4842,10.9283,8.90147,-0.0550064,-0.237323,-0.208859
1.7,32.0741,11.092,11.5847,9.39743,-0.0861472,-0.261219,-0.237755
1.8,33.8465,11.7188,12.2452,9.88246,-0.122212,-0.294287,-0.256482
1.9,35.5982,12.3479,12.9035,10.3469,-0.170773,-0.329855,-0.272841
2.0,37.3597,12.9899,13.5661,10.8037,-0.206638,-0.372178,-0.269062
2.1,39.121,13.6401,14.2276,11.2534,-0.237308,-0.403426,-0.268089
2.2,40.8862,14.3108,14.8769,11.6985,-0.274866,-0.43611,-0.26235
2.3,42.6628,14.9829,15.5397,12.1402,-0.325895,-0.484629,-0.245889
2.4,44.4517,15.6954,16.1947,12.5615,-0.381474,-0.512829,-0.234699
2.5,46.2041,16.4004,16.8583,12.9454,-0.433763,-0.541971,-0.213274
2.6,47.9221,17.0821,17.5067,13.3334,-0.520399,-0.55289,-0.180934
2.7,49.6205,17.7571,18.1521,13.7114,-0.594223,-0.567746,-0.151692
