Time (ns),trace,xx,yy,zz,yx,zx,zy
0.1,2.11691,0.715578,0.726012,0.675325,-0.00513813,-0.00538479,-0.00244248
0.2,4.1707,1.42784,1.41702,1.32584,-0.0124862,-0.00115735,-0.012127
0.3,6.18251,2.14071,2.1027,1.93911,-0.0289466,0.0165977,-0.0238487
0.4,8.1689,2.83082,2.79602,2.54206,-0.0414146,0.0512779,-0.038041
0.5,10.1449,3.5303,3.48357,3.131,-0.0565633,0.0811414,-0.0666116
0.6,12.1237,4.24887,4.17412,3.70072,-0.0722246,0.093777,-0.0904162
0.7,14.0868,4.9644,4.86262,4.25977,-0.0863798,0.110213,-0.1107
0.8,16.0554,5.68667,5.56255,4.80621,-0.0976992,0.125761,-0.127818
0.9,18.0035,6.40437,6.25997,5.33914,-0.101024,0.153619,-0.137708
1.0,19.9087,7.10389,6.94674,5.85807,-0.0998209,0.180121,-0.15311
1.1,21.8159,7.80843,7.64087,6.36659,-0.0757607,0.211105,-0.164959
1.2,23.7297,8.51935,8.33956,6.87082,-0.0536316,0.244724,-0.173416
1.3,25.6426,9.23721,9.03956,7.3658,-0.0340117,0.289819,-0.173172
1.4,27.5527,9.9589,9.72734,7.86648,-0.0176561,0.331064,-0.159304
1.5,29.4687,10.6848,10.4259,8.35796,-0.0138576,0.369827,-0.158067
1.6,31.3976,11.4247,11.1213,8.85165,-0.0131603,0.408567,-0.159487
1.7,33.3183,12.1658,11.8215,9.33101,-0.0178903,0.452782,-0.158755
1.8,35.2218,12.8957,12.5244,9.80169,-0.0178986,0.499358,-0.163722
1.9,37.1473,13.636,13.2415,10.2699,-0.0102069,0.54818,-0.15185
2.0,39.0801,14.3833,13.969,10.7278,-0.000268291,0.588503,-0.130877
2.1,41.0084,15.1127,14.7175,11.1782,-0.002799,0.62302,-0.10281
2.2,42.932,15.845,15.4633,11.6236,-0.00246092,0.659394,-0.0848444
2.3,44.8263,16.563,16.2149,12.0484,-0.00324831,0.694652,-0.0656072
2.4,46.6959,17.2883,16.9536,12.4541,-0.0152996,0.725993,-0.0487687
2.5,48.574,18.0104,17.6923,12.8713,-0.024809,0.751714,-0.0261937
2.6,50.4442,18.7466,18.4256,13.2721,-0.0377841,0.780863,-0.0107124
2.7,52.2922,19.4729,19.1466,13.6727,-0.0553869,0.814401,0.00604026
2.8,54.1255,20.1915,19.8695,14.0646,-0.0762305,0.848316,0.0241596
2.9,55.9513,20.9204,20.5638,14.467,-0.0986686,0.879954,0.0472629
3.0,57.7883,21.6527,21.2539,14.8817,-0.106689,0.906226,0.0700582
3.1,59.576,22.3749,21.9418,15.2593,-0.11582,0.923151,0.0990216
3.2,61.3411,23.1087,22.5948,15.6375,-0.127038,0.936065,0.140097
3.3,63.0981,23.8319,23.2551,16.0112,-0.134553,0.958613,0.189755
3.4,64.8427,24.5475,23.9029,16.3923,-0.135121,0.990228,0.24809
3.5,66.5443,25.2393,24.5448,16.7602,-0.155915,1.01391,0.302388
3.6,68.2524,25.9512,25.2122,17.089,-0.16405,1.0347,0.349055
3.7,69.9845,26.6913,25.8906,17.4026,-0.180724,1.0504,0.404061
3.8,71.7462,27.4352,26.575,17.736,-0.199089,1.07086,0.46936
3.9,73.5299,28.2167,27.2652,18.048,-0.230245,1.1257,0.530653
4.0,75.3389,28.9979,27.9851,18.3559,-0.269577,1.1818,0.589831
4.1,77.1229,29.769,28.7087,18.6452,-0.328088,1.24748,0.648592
4.2,78.8602,30.5056,29.4428,18.9118,-0.378105,1.29765,0.716314
4.3,80.6317,31.2471,30.1837,19.2008,-0.442481,1.33656,0.790718
4.4,82.3773,31.9853,30.9109,19.4812,-0.526609,1.37357,0.860263
4.5,84.1067,32.7225,31.628,19.7563,-0.603182,1.41663,0.936781
4.6,85.8475,33.4698,32.3506,20.0271,-0.682627,1.44999,0.998143
4.7,87.589,34.2298,33.0722,20.287,-0.783826,1.46752,1.05702
4.8,89.323,34.977,33.7895,20.5565,-0.882717,1.51303,1.13496
4.9,91.0356,35.7002,34.4943,20.8411,-0.977995,1.54803,1.20777
5.0,92.7548,36.4464,35.1855,21.1229,-1.08403,1.5603,1.26954
5.1,94.4484,37.1868,35.8828,21.3788,-1.17957,1.56391,1.3634
5.2,96.0923,37.9018,36.5595,21.631,-1.28699,1.57529,1.44586
5.3,97.7423,38.6022,37.2653,21.8748,-1.38355,1.6027,1.534
5.4,99.3826,39.2996,37.9994,22.0837,-1.4733,1.62126,1.62509
5.5,101.063,40.0133,38.7706,22.2796,-1.54663,1.6411,1.72851
5.6,102.805,40.7408,39.581,22.4829,-1.61028,1.67419,1.82192
5.7,104.582,41.4683,40.3937,22.7199,-1.66885,1.73244,1.90708
5.8,106.314,42.1604,41.2001,22.9536,-1.72688,1.78089,1.97922
5.9,108.028,42.8543,42.0112,23.1621,-1.80393,1.84996,2.04638
6.0,109.784,43.5477,42.8413,23.3947,-1.87229,1.90682,2.09663
6.1,111.532,44.2295,43.6793,23.623,-1.95972,1.97728,2.12186
6.2,113.251,44.8969,44.5053,23.849,-2.02484,2.02969,2.14229
6.3,114.929,45.518,45.3438,24.0676,-2.06079,2.05804,2.17761
6.4,116.618,46.1208,46.2219,24.2753,-2.09824,2.09752,2.19248
6.5,118.277,46.7191,47.0924,24.4651,-2.12134,2.13014,2.21045
6.6,119.956,47.329,47.9811,24.6459,-2.16179,2.13286,2.22478
6.7,121.637,47.9515,48.853,24.8329,-2.215,2.16124,2.21616
6.8,123.269,48.5877,49.6977,24.984,-2.25202,2.19884,2.20453
6.9,124.94,49.2641,50.5593,25.1163,-2.25542,2.21255,2.16289
7.0,126.557,49.9201,51.3588,25.2784,-2.24922,2.2148,2.13014
7.1,128.131,50.5642,52.1527,25.4141,-2.24868,2.23955,2.09489
7.2,129.731,51.2495,52.9631,25.5182,-2.22203,2.24908,2.04528
7.3,131.352,51.9237,53.776,25.6521,-2.25277,2.31138,1.983
7.4,133.031,52.6078,54.6387,25.7841,-2.25287,2.33237,1.91926
7.5,134.643,53.2917,55.4312,25.9202,-2.21276,2.35068,1.86145
7.6,136.235,53.9846,56.2554,25.9952,-2.14642,2.37868,1.79066
7.7,137.946,54.773,57.023,26.1502,-2.08794,2.37602,1.74649
7.8,139.669,55.5883,57.7618,26.3186,-2.0181,2.39051,1.68689
7.9,141.453,56.4686,58.5017,26.4826,-1.91737,2.40056,1.62113
8.0,143.234,57.398,59.2016,26.6345,-1.7813,2.41732,1.52461
8.1,145.006,58.3081,59.974,26.7242,-1.70536,2.43807,1.38686
8.2,146.88,59.1657,60.8464,26.8676,-1.65586,2.43187,1.30267
8.3,148.752,60.0722,61.7204,26.9597,-1.60624,2.40846,1.22161
8.4,150.653,60.981,62.5947,27.0775,-1.48949,2.30695,1.09733
8.5,152.573,61.9,63.4939,27.1789,-1.44968,2.15479,1.0309
8.6,154.315,62.836,64.2682,27.2111,-1.3218,2.01209,0.926332
8.7,155.837,63.6335,64.9339,27.2699,-1.21907,1.97149,0.797849
8.8,157.158,64.3435,65.5338,27.2808,-1.10706,1.91436,0.672645
8.9,158.331,64.9958,66.0917,27.244,-0.990729,1.90771,0.571003
9.0,159.757,65.8481,66.5856,27.3235,-0.880359,1.86716,0.517964
9.1,161.106,66.7485,67.0357,27.3214,-0.803033,1.95115,0.540762
9.2,162.391,67.7501,67.3837,27.2572,-0.559176,1.90569,0.503252
9.3,163.875,68.8199,67.8081,27.247,-0.44095,1.7957,0.435
9.4,165.76,70.1139,68.1576,27.489,-0.369769,1.62916,0.512119
9.5,167.722,71.4503,68.7135,27.5586,-0.354465,1.5319,0.743841
9.6,169.15,72.3856,69.2043,27.5599,-0.396825,1.41215,0.693466
9.7,170.801,73.6602,69.5466,27.5947,-0.920046,1.30527,0.629951
9.8,172.412,74.9094,69.6836,27.8193,-1.36084,1.25819,0.661274
9.9,174.456,76.4192,69.7456,28.2914,-1.61845,1.4345,0.604197
10.0,175.301,77.4904,69.152,28.6591,-1.46668,2.28692,0.928779
10.1,2.11565,0.712399,0.717544,0.685702,0.00649482,-0.00536223,-0.00495837
10.2,4.17932,1.42684,1.4313,1.32117,0.0161366,-0.0132508,-0.00624881
10.3,6.24271,2.15501,2.14769,1.94001,0.0240098,-0.0186866,-0.00134169
10.4,8.28939,2.87639,2.86766,2.54534,0.0305645,-0.0195704,-0.000597021
10.5,10.3041,3.58462,3.59175,3.12772,0.0376063,-0.01803,0.00419023
10.6,12.315,4.30288,4.3164,3.69568,0.054073,-0.0190308,0.00425067
10.7,14.3145,5.00821,5.05036,4.25589,0.0734742,-0.0385362,0.00610937
10.8,16.3155,5.71144,5.80295,4.80116,0.0898635,-0.0571627,0.00505087
10.9,18.3169,6.41971,6.55753,5.33962,0.107501,-0.086343,-0.00303104
11.0,20.3148,7.11603,7.31743,5.88133,0.136931,-0.118571,-0.0131813
11.1,22.2594,7.8005,8.07214,6.38676,0.174123,-0.155713,-0.0197587
11.2,24.1821,8.48746,8.81648,6.87816,0.198585,-0.191614,-0.028949
11.3,26.1107,9.16789,9.56899,7.37381,0.232996,-0.22588,-0.048055
11.4,28.0468,9.84822,10.338,7.86063,0.270516,-0.253238,-0.0583264
11.5,29.9576,10.5126,11.1164,8.3286,0.298249,-0.278179,-0.0521592
11.6,31.8584,11.1852,11.8935,8.77976,0.325265,-0.309849,-0.0365159
11.7,33.7569,11.8525,12.6693,9.23512,0.350695,-0.336204,-0.0101025
11.8,35.6723,12.5217,13.4535,9.69708,0.382719,-0.357955,0.0173633
11.9,37.5483,13.1818,14.2237,10.1428,0.419321,-0.374163,0.0502563
12.0,39.4558,13.84,15.0131,10.6027,0.446807,-0.386924,0.0615887
12.1,41.347,14.4993,15.8071,11.0406,0.476493,-0.38066,0.0752436
12.2,43.2191,15.1428,16.5951,11.4812,0.509368,-0.379985,0.0857483
12.3,45.1077,15.7953,17.3868,11.9257,0.536627,-0.377261,0.114855
12.4,46.9658,16.4283,18.1824,12.3551,0.571,-0.38654,0.148876
12.5,48.8146,17.0454,18.978,12.7913,0.597968,-0.383774,0.174302
12.6,50.6643,17.6493,19.7832,13.2318,0.629352,-0.386204,0.195046
12.7,52.4785,18.2469,20.5687,13.6629,0.667407,-0.402672,0.20394
12.8,54.3072,18.8457,21.3704,14.0911,0.721165,-0.419274,0.216642
12.9,56.1459,19.4538,22.1671,14.5249,0.780852,-0.440058,0.222306
13.0,57.9835,20.092,22.9478,14.9437,0.849475,-0.455534,0.22812
13.1,59.7951,20.7117,23.7175,15.3659,0.946017,-0.467923,0.240528
