Time (ns),id,Diffusion Coefficient (cm²/s),Atom id
10.0,,0.01703,1.0
10.0,,0.200829,106.0
10.0,,0.0938545,114.0
10.0,,0.313806,144.0
10.0,,0.0193481,151.0
10.0,,0.325829,174.0
10.0,,0.207442,176.0
10.0,,0.153226,183.0
10.0,,0.00263393,198.0
10.0,,0.0126769,210.0
10.0,,0.0013771,216.0
10.0,,0.24765,245.0
20.0,,0.318408,2.0
20.0,,0.281558,50.0
20.0,,0.00204238,63.0
20.0,,0.289715,70.0
20.0,,0.186689,184.0
20.0,,0.196896,194.0
20.0,,4.34568e-05,216.0
20.0,,0.248978,264.0
20.0,,0.299951,281.0
30.0,,0.255665,65.0
30.0,,0.00147041,73.0
30.0,,0.209635,143.0
30.0,,0.00149947,158.0
30.0,,3.33389e-05,216.0
30.0,,0.319002,223.0
40.0,,0.279204,27.0
40.0,,0.0127513,41.0
40.0,,0.284369,53.0
40.0,,0.306672,56.0
40.0,,0.232825,74.0
40.0,,0.262491,76.0
40.0,,0.297514,77.0
40.0,,0.249308,113.0
40.0,,0.0941723,138.0
40.0,,0.231698,192.0
40.0,,1.41065e-05,216.0
40.0,,0.26861,221.0
40.0,,0.323198,244.0
50.0,,0.146293,3.0
50.0,,0.255588,5.0
50.0,,0.205351,11.0
50.0,,0.300342,39.0
50.0,,0.128629,44.0
50.0,,0.0961087,126.0
50.0,,0.014637,151.0
50.0,,0.22475,198.0
50.0,,0.00337254,216.0
50.0,,0.236191,259.0
50.0,,0.322333,262.0
60.0,,0.296133,26.0
60.0,,0.0178011,73.0
60.0,,0.32287,80.0
60.0,,0.160556,125.0
60.0,,0.230729,126.0
60.0,,0.02785,158.0
60.0,,0.219646,174.0
60.0,,0.209698,199.0
60.0,,3.61155e-05,216.0
60.0,,0.253826,236.0
60.0,,0.000443987,240.0
60.0,,0.152531,241.0
60.0,,0.174737,252.0
60.0,,0.313564,275.0
70.0,,0.315996,45.0
70.0,,0.222991,62.0
70.0,,0.00174348,63.0
70.0,,0.264928,68.0
70.0,,0.128522,80.0
70.0,,0.0345328,127.0
70.0,,0.0968145,161.0
70.0,,0.218022,193.0
70.0,,0.215812,214.0
70.0,,0.207399,251.0
70.0,,0.171719,266.0
70.0,,0.151363,286.0
70.0,,0.328706,288.0
70.0,,0.242755,291.0
80.0,,0.270468,47.0
80.0,,0.299957,48.0
80.0,,0.258453,54.0
80.0,,0.000881238,63.0
80.0,,0.186319,97.0
80.0,,0.0903528,102.0
80.0,,3.52481e-05,125.0
80.0,,0.214854,129.0
80.0,,0.284084,141.0
80.0,,0.194089,154.0
80.0,,0.186391,196.0
80.0,,0.138951,204.0
80.0,,0.0843974,220.0
80.0,,0.317089,259.0
80.0,,0.304197,267.0
90.0,,0.0830878,2.0
90.0,,0.0692465,99.0
90.0,,0.0847039,104.0
90.0,,0.162436,153.0
90.0,,0.219568,193.0
90.0,,0.291354,197.0
90.0,,5.85727e-05,216.0
90.0,,0.332595,248.0
90.0,,0.189803,259.0
90.0,,4.09447e-05,281.0
90.0,,0.307356,290.0
100.0,,0.221008,10.0
100.0,,0.0011261,37.0
100.0,,0.279874,44.0
100.0,,0.001176,73.0
100.0,,0.324827,77.0
100.0,,0.331027,88.0
100.0,,0.287463,107.0
100.0,,0.201691,172.0
100.0,,0.225732,187.0
100.0,,0.0,212.0
100.0,,2.04827e-05,216.0
100.0,,0.124803,272.0
100.0,,0.00115999,277.0
100.0,,0.236336,290.0
110.0,,0.0,11.0
110.0,,0.000740222,24.0
110.0,,0.198914,35.0
110.0,,0.285487,51.0
110.0,,0.10129,133.0
110.0,,0.290171,166.0
110.0,,0.158577,180.0
110.0,,0.000929723,187.0
110.0,,0.282338,190.0
110.0,,0.260904,200.0
110.0,,0.257845,206.0
110.0,,2.57236e-05,216.0
110.0,,0.0704728,287.0
110.0,,0.154781,294.0
120.0,,0.299908,7.0
120.0,,0.181751,24.0
120.0,,0.162839,79.0
120.0,,0.128017,93.0
120.0,,0.28883,130.0
120.0,,0.187454,164.0
120.0,,0.246036,167.0
120.0,,0.011901,187.0
120.0,,0.323513,195.0
120.0,,0.00152069,201.0
120.0,,0.000371912,216.0
120.0,,0.183043,254.0
120.0,,0.106852,272.0
130.0,,0.249763,58.0
130.0,,0.00392423,73.0
130.0,,0.139171,76.0
130.0,,0.269703,81.0
130.0,,0.305076,102.0
130.0,,0.219889,116.0
130.0,,0.0675154,205.0
130.0,,0.000150774,216.0
130.0,,0.213554,235.0
130.0,,0.33254,273.0
140.0,,0.00117868,10.0
140.0,,0.101287,11.0
140.0,,0.326844,13.0
140.0,,0.333355,27.0
140.0,,0.178218,28.0
140.0,,0.327612,35.0
140.0,,0.00549297,37.0
140.0,,0.300883,66.0
140.0,,0.311784,72.0
140.0,,0.00756426,73.0
140.0,,0.155571,102.0
140.0,,0.28819,163.0
140.0,,0.249959,179.0
140.0,,0.324981,191.0
140.0,,0.24719,194.0
140.0,,0.293068,197.0
140.0,,0.182258,213.0
140.0,,0.000346266,216.0
140.0,,0.172783,217.0
140.0,,0.0139221,221.0
140.0,,0.297337,241.0
150.0,,0.289345,12.0
150.0,,0.111918,49.0
150.0,,0.154978,108.0
150.0,,0.0378919,115.0
150.0,,0.129276,142.0
150.0,,0.215858,154.0
150.0,,0.272702,202.0
150.0,,1.07778e-05,216.0
150.0,,0.2871,245.0
150.0,,0.220673,246.0
150.0,,0.295316,282.0
160.0,,0.29302,45.0
160.0,,0.17776,87.0
160.0,,0.315156,111.0
160.0,,0.198622,122.0
160.0,,0.209217,178.0
160.0,,0.0159462,187.0
160.0,,0.266027,204.0
160.0,,0.286939,210.0
160.0,,0.0,216.0
160.0,,0.117,235.0
160.0,,0.145063,238.0
160.0,,0.0892419,248.0
160.0,,0.00227569,255.0
160.0,,0.278532,266.0
160.0,,0.256126,275.0
170.0,,0.202949,32.0
170.0,,0.318369,33.0
170.0,,0.120049,37.0
170.0,,0.0,42.0
170.0,,0.272537,59.0
170.0,,0.314411,60.0
170.0,,0.00131478,73.0
170.0,,0.165499,103.0
170.0,,0.313875,109.0
170.0,,0.292021,134.0
170.0,,0.0,140.0
170.0,,0.215859,156.0
170.0,,0.0,216.0
170.0,,0.27897,228.0
170.0,,0.279562,257.0
170.0,,0.243979,258.0
180.0,,0.0,63.0
180.0,,0.332267,66.0
180.0,,5.55364e-05,125.0
180.0,,0.21258,137.0
180.0,,0.315885,147.0
180.0,,0.203152,195.0
180.0,,0.329882,198.0
180.0,,0.253036,215.0
180.0,,0.300913,221.0
180.0,,0.287013,267.0
190.0,,0.000590192,24.0
190.0,,0.0,49.0
190.0,,0.29991,53.0
190.0,,0.0709799,84.0
190.0,,0.135119,109.0
190.0,,0.330638,127.0
190.0,,0.280021,153.0
190.0,,0.233528,181.0
190.0,,4.88572e-05,187.0
190.0,,0.244191,207.0
190.0,,3.1914e-05,216.0
190.0,,0.234246,234.0
190.0,,0.038232,272.0
200.0,,0.264087,17.0
200.0,,0.259157,21.0
200.0,,0.0113363,73.0
200.0,,0.208874,75.0
200.0,,0.280903,84.0
200.0,,0.138912,94.0
200.0,,0.219063,113.0
200.0,,0.271339,117.0
200.0,,0.331899,122.0
200.0,,0.0311804,150.0
200.0,,0.0,158.0
200.0,,0.0,216.0
200.0,,0.212166,231.0
210.0,,0.165971,22.0
210.0,,0.0785632,46.0
210.0,,0.23744,62.0
210.0,,0.164079,63.0
210.0,,0.302803,72.0
210.0,,0.118204,110.0
210.0,,0.0774287,184.0
210.0,,0.269388,191.0
210.0,,0.000152373,216.0
210.0,,0.00124935,255.0
210.0,,0.00493564,281.0
220.0,,0.276157,11.0
220.0,,0.000501065,63.0
220.0,,0.334125,107.0
220.0,,0.315814,110.0
220.0,,0.20925,114.0
220.0,,0.00285931,125.0
220.0,,0.254015,141.0
220.0,,0.158095,226.0
220.0,,0.198103,247.0
220.0,,0.229812,259.0
220.0,,0.221196,263.0
220.0,,0.253951,267.0
230.0,,0.210043,8.0
230.0,,0.282482,53.0
230.0,,0.000791599,63.0
230.0,,0.122244,76.0
230.0,,0.192833,93.0
230.0,,9.57097e-05,125.0
230.0,,0.0677882,128.0
230.0,,0.23414,167.0
230.0,,0.0979429,209.0
230.0,,0.155754,241.0
230.0,,0.262753,281.0
230.0,,0.0726616,289.0
240.0,,0.223785,19.0
240.0,,0.204141,38.0
240.0,,0.272489,40.0
240.0,,0.10304,48.0
240.0,,0.0161472,51.0
240.0,,0.16995,93.0
240.0,,0.163725,97.0
240.0,,0.18575,158.0
240.0,,0.225711,168.0
240.0,,0.226457,170.0
240.0,,0.286031,176.0
240.0,,0.02399,181.0
240.0,,5.45565e-05,216.0
240.0,,0.330549,228.0
240.0,,0.316528,265.0
240.0,,0.09097,289.0
250.0,,0.307195,76.0
250.0,,0.117267,78.0
250.0,,0.333169,115.0
250.0,,0.0,187.0
250.0,,0.0317047,201.0
250.0,,2.21468e-05,216.0
250.0,,0.331116,227.0
250.0,,0.23774,234.0
250.0,,0.334904,289.0
250.0,,0.255318,294.0
260.0,,0.263478,19.0
260.0,,0.288036,25.0
260.0,,0.00587303,63.0
260.0,,0.241667,65.0
260.0,,0.1431,66.0
260.0,,0.277259,79.0
260.0,,0.231064,100.0
260.0,,2.32483e-05,125.0
260.0,,0.330487,128.0
260.0,,0.177215,142.0
260.0,,0.302519,178.0
260.0,,0.119919,226.0
260.0,,0.284264,240.0
260.0,,0.294493,243.0
270.0,,0.00157684,37.0
270.0,,0.271316,58.0
270.0,,0.00086086,73.0
270.0,,0.162739,88.0
270.0,,0.0,90.0
270.0,,0.109821,98.0
270.0,,0.32705,135.0
270.0,,4.24041e-06,216.0
270.0,,0.256997,247.0
280.0,,0.223773,17.0
280.0,,0.0080316,63.0
280.0,,0.139971,148.0
280.0,,0.175943,158.0
280.0,,0.299499,189.0
280.0,,0.183766,197.0
280.0,,0.29855,204.0
280.0,,0.279225,210.0
280.0,,0.000183076,216.0
280.0,,0.203348,290.0
290.0,,0.0494143,44.0
290.0,,0.121224,56.0
290.0,,0.00123766,73.0
290.0,,0.265449,121.0
290.0,,0.202107,123.0
290.0,,0.226692,136.0
290.0,,0.332442,168.0
290.0,,0.255955,194.0
290.0,,7.00469e-05,216.0
290.0,,0.133628,220.0
300.0,,0.000224756,24.0
300.0,,0.303625,53.0
300.0,,0.312639,59.0
300.0,,0.241164,60.0
300.0,,0.302147,72.0
300.0,,0.303389,122.0
300.0,,0.242077,175.0
300.0,,0.268948,183.0
300.0,,0.000582348,187.0
300.0,,5.61741e-05,216.0
300.0,,0.0794984,217.0
300.0,,0.123563,222.0
300.0,,0.192696,249.0
310.0,,0.000392169,63.0
310.0,,0.30874,64.0
310.0,,0.162754,81.0
310.0,,0.1756,101.0
310.0,,0.152595,133.0
310.0,,0.22303,180.0
310.0,,0.095134,253.0
310.0,,0.3291,265.0
310.0,,0.304779,293.0
320.0,,0.16612,18.0
320.0,,0.000302527,24.0
320.0,,0.170986,27.0
320.0,,0.266721,34.0
320.0,,0.243933,43.0
320.0,,0.219514,102.0
320.0,,0.331522,119.0
320.0,,0.283062,154.0
320.0,,0.0115386,165.0
320.0,,0.0108897,166.0
320.0,,0.000660579,187.0
320.0,,0.266132,190.0
320.0,,6.83181e-05,216.0
320.0,,0.23639,255.0
320.0,,0.0923315,262.0
