Time (ns),<D> (1e-5 cm²/s),EE
10.0,2.5373,0.6027
20.0,2.4556,0.4511
30.0,2.6234,0.4684
40.0,2.3915,0.5019
50.0,2.7341,0.3878
60.0,2.8521,0.4302
70.0,2.5433,0.3061
80.0,2.5292,0.3419
90.0,2.5226,0.3838
100.0,2.4663,0.2857
110.0,2.74,0.3715
120.0,2.8066,0.1595
130.0,2.9062,0.2831
140.0,2.6959,0.0951
150.0,2.6484,0.3269
160.0,2.7398,0.0426
170.0,2.8181,0.4552
180.0,2.5063,0.387
190.0,2.6513,0.469
200.0,2.8876,0.4807
210.0,2.7425,0.258
220.0,2.6494,0.2816
230.0,2.7599,0.1406
240.0,2.8747,0.0923
250.0,2.5664,0.4364
260.0,2.7787,0.1645
270.0,2.8471,0.297
280.0,2.5841,0.4451
290.0,2.7829,0.3334
300.0,2.6374,0.6829
310.0,2.6739,0.2673
320.0,2.5717,0.039
330.0,2.7953,0.5679
340.0,2.6225,0.526
350.0,2.9022,0.1369
360.0,2.5524,0.4538
370.0,2.6733,0.5689
380.0,2.5245,0.2936
390.0,2.5687,0.1012
400.0,2.4416,0.6
410.0,2.638,0.2895
420.0,2.9051,0.369
430.0,2.7547,0.2823
440.0,2.9311,0.2677
450.0,2.6808,0.391
460.0,2.6109,0.3552
470.0,2.672,0.367
480.0,2.5867,0.3166
490.0,2.909,0.0879
500.0,2.7234,0.4222
510.0,2.3133,0.4501
520.0,2.692,0.4311
530.0,2.5581,0.1639
540.0,2.6997,0.4138
550.0,2.6292,0.3403
560.0,3.0219,0.3722
570.0,2.8059,0.2333
580.0,2.6186,0.5323
590.0,2.5515,0.4798
600.0,2.6563,0.446
610.0,2.5409,0.3195
620.0,2.86,0.2242
630.0,2.7492,0.2599
640.0,2.798,0.4906
650.0,2.4254,0.6422
660.0,2.744,0.324
670.0,2.4631,0.0233
680.0,2.517,0.3422
690.0,2.7164,0.3015
700.0,2.9321,0.1456
710.0,2.9617,0.3785
720.0,2.7685,0.4679
730.0,2.4727,0.4611
740.0,2.5414,0.32
750.0,2.8176,0.1541
760.0,2.5363,0.0597
770.0,2.5105,0.2653
780.0,2.6224,0.2522
790.0,2.696,0.3123
800.0,2.8595,0.0196
810.0,2.6803,0.296
820.0,3.085,0.1002
830.0,2.6751,0.2061
840.0,2.6878,0.349
850.0,2.6663,0.2033
860.0,2.5485,0.4153
870.0,2.7236,0.2531
880.0,2.5554,0.4597
890.0,2.7967,0.3251
900.0,2.5537,0.2025
910.0,2.5704,0.394
920.0,2.6601,0.1963
930.0,2.8047,0.1366
940.0,2.5907,0.3783
950.0,2.4568,0.4736
960.0,2.6532,0.5851
970.0,2.6236,0.1846
980.0,2.9281,0.1327
990.0,2.4363,0.6426
1000.0,2.8565,0.2974
