Atom id,Diffusion Coefficient (cm²/s)
1,0.775247
2,7.37594
3,2.14595
4,1.6121
5,6.57628
6,3.537
7,2.8165
8,2.39498
9,0.620409
10,4.95777
11,2.41093
12,1.09968
13,4.69844
14,1.78601
15,2.43013
16,1.24585
17,4.762
18,3.33258
19,0.263478
20,1.42626
21,0.622377
22,3.42663
23,2.22144
24,3.06994
25,0.288036
26,1.14929
27,0.718467
28,2.64314
29,3.97551
30,7.77979
31,16.3286
32,0.706097
33,0.674293
34,0.53132
35,0.399945
36,4.71736
37,4.50395
38,0.56605
39,1.84084
40,3.09717
41,4.12692
42,2.18894
43,2.65163
44,1.79535
45,0.457138
46,0.871128
47,1.49276
48,0.39753
49,1.87184
50,2.2322
51,0.86633
52,1.93575
53,1.65801
54,7.58948
55,4.16077
56,1.93405
57,4.20515
58,0.515271
59,1.96936
60,0.442211
61,3.68119
62,2.60199
63,0.00587303
64,3.21891
65,0.241667
66,0.1431
67,0.657956
68,0.335973
69,1.84616
70,0.952514
71,0.907566
72,2.729
73,1.59972
74,8.14965
75,2.73325
76,7.23076
77,4.80223
78,6.28102
79,0.277259
80,4.14074
81,1.716
82,4.26408
83,1.15984
84,1.02373
85,2.58768
86,2.23069
87,3.47357
88,2.78539
89,2.22193
90,2.37158
91,2.24681
92,0.615358
93,5.38951
94,4.55661
95,3.55121
96,0.746002
97,3.20233
98,3.7045
99,0.701534
100,0.231064
101,0.661513
102,2.64866
103,1.3955
104,2.23217
105,2.12269
106,2.11785
107,1.90473
108,3.97569
109,0.826192
110,0.822203
111,1.44112
112,6.24885
113,4.51662
114,3.68086
115,1.0937
116,0.469305
117,5.54959
118,0.953486
119,0.524752
120,3.17559
121,4.68622
122,0.67891
123,1.20321
124,4.04307
125,2.32483e-05
126,7.44577
127,3.15463
128,0.330487
129,8.81251
130,1.92795
131,1.83047
132,1.1445
133,2.1927
134,1.06955
135,1.80614
136,3.9827
137,0.656806
138,3.49128
139,2.19895
140,5.04473
141,1.15894
142,0.177215
143,2.82639
144,1.41325
145,2.21376
146,1.17179
147,1.93551
148,2.77951
149,1.50806
150,2.58455
151,0.579723
152,0.832394
153,0.897176
154,5.89635
155,1.64045
156,0.740619
157,2.51128
158,6.77779
159,6.19555
160,4.04981
161,0.585257
162,5.27735
163,0.764464
164,3.45805
165,5.81906
166,2.59192
167,1.78534
168,3.10342
169,1.95706
170,1.31943
171,4.38403
172,6.33531
173,2.98975
174,5.82151
175,1.99725
176,1.6562
177,6.53211
178,0.302519
179,4.41744
180,4.40117
181,5.57398
182,9.9685
183,0.401701
184,9.24425
185,1.15757
186,5.28055
187,1.27824
188,2.08491
189,1.26748
190,10.947
191,2.68994
192,1.68774
193,4.06641
194,1.68278
195,3.49229
196,2.85267
197,3.70755
198,1.0823
199,0.677701
200,3.72838
201,0.882855
202,0.48346
203,3.17678
204,1.32399
205,3.43614
206,4.17301
207,8.02149
208,2.37497
209,2.16505
210,4.36064
211,3.77912
212,6.83692
213,1.24099
214,2.66457
215,1.7934
216,2.62207
217,1.24135
218,1.11689
219,3.63004
220,4.67449
221,0.836388
222,0.677772
223,1.89813
224,0.493252
225,0.58414
226,0.119919
227,0.899327
228,2.55923
229,1.97166
230,5.84135
231,3.77805
232,10.8596
233,0.934075
234,2.28589
235,1.08583
236,2.394
237,8.10633
238,2.14699
239,8.37826
240,0.284264
241,0.84041
242,1.36321
243,0.294493
244,3.58991
245,1.29237
246,4.12113
247,3.04208
248,1.65978
249,2.98088
250,4.32617
251,0.364508
252,0.763072
253,1.02918
254,3.45262
255,2.55404
256,1.03572
257,1.25533
258,2.36076
259,0.657481
260,2.24004
261,6.81509
262,3.13935
263,5.53925
264,3.59591
265,3.02144
266,3.5378
267,1.47365
268,4.34248
269,1.47661
270,2.03649
271,0.870545
272,3.13021
273,2.97747
274,1.51163
275,0.732818
276,1.75406
277,2.67291
278,2.20675
279,4.38873
280,0.74067
281,2.06397
282,5.31338
283,0.80135
284,1.29781
285,1.01101
286,4.43266
287,5.07998
288,2.08682
289,1.95137
290,2.14979
291,2.2459
292,1.44985
293,2.52468
294,2.01463
