Time (ns),Atom id,Diffusion Coefficient (cm²/s)
10.0,1,0.01703
10.0,106,0.200829
10.0,114,0.0938545
10.0,144,0.313806
10.0,151,0.0193481
10.0,174,0.325829
10.0,176,0.207442
10.0,183,0.153226
10.0,198,0.00263393
10.0,210,0.0126769
10.0,216,0.0013771
10.0,245,0.24765
20.0,2,0.318408
20.0,50,0.281558
20.0,63,0.00204238
20.0,70,0.289715
20.0,184,0.186689
20.0,194,0.196896
20.0,216,4.34568e-05
20.0,264,0.248978
20.0,281,0.299951
30.0,65,0.255665
30.0,73,0.00147041
30.0,143,0.209635
30.0,158,0.00149947
30.0,216,3.33389e-05
30.0,223,0.319002
40.0,27,0.279204
40.0,41,0.0127513
40.0,53,0.284369
40.0,56,0.306672
40.0,74,0.232825
40.0,76,0.262491
40.0,77,0.297514
40.0,113,0.249308
40.0,138,0.0941723
40.0,192,0.231698
40.0,216,1.41065e-05
40.0,221,0.26861
40.0,244,0.323198
50.0,3,0.146293
50.0,5,0.255588
50.0,11,0.205351
50.0,39,0.300342
50.0,44,0.128629
50.0,126,0.0961087
50.0,151,0.014637
50.0,198,0.22475
50.0,216,0.00337254
50.0,259,0.236191
50.0,262,0.322333
60.0,26,0.296133
60.0,73,0.0178011
60.0,80,0.32287
60.0,125,0.160556
60.0,126,0.230729
60.0,158,0.02785
60.0,174,0.219646
60.0,199,0.209698
60.0,216,3.61155e-05
60.0,236,0.253826
60.0,240,0.000443987
60.0,241,0.152531
60.0,252,0.174737
60.0,275,0.313564
70.0,45,0.315996
70.0,62,0.222991
70.0,63,0.00174348
70.0,68,0.264928
70.0,80,0.128522
70.0,127,0.0345328
70.0,161,0.0968145
70.0,193,0.218022
70.0,214,0.215812
70.0,251,0.207399
70.0,266,0.171719
70.0,286,0.151363
70.0,288,0.328706
70.0,291,0.242755
80.0,47,0.270468
80.0,48,0.299957
80.0,54,0.258453
80.0,63,0.000881238
80.0,97,0.186319
80.0,102,0.0903528
80.0,125,3.52481e-05
80.0,129,0.214854
80.0,141,0.284084
80.0,154,0.194089
80.0,196,0.186391
80.0,204,0.138951
80.0,220,0.0843974
80.0,259,0.317089
80.0,267,0.304197
90.0,2,0.0830878
90.0,99,0.0692465
90.0,104,0.0847039
90.0,153,0.162436
90.0,193,0.219568
90.0,197,0.291354
90.0,216,5.85727e-05
