Time (ns),GROMACS id
10,90079
10,90184
10,90192
10,90222
10,90229
10,90252
10,90254
10,90261
10,90276
10,90288
10,90294
10,90323
20,90080
20,90128
20,90141
20,90148
20,90262
20,90272
20,90294
20,90342
20,90359
30,90143
30,90151
30,90221
30,90236
30,90294
30,90301
40,90105
40,90119
40,90131
40,90134
40,90152
40,90154
40,90155
40,90191
40,90216
40,90270
40,90294
40,90299
40,90322
50,90081
50,90083
50,90089
50,90117
50,90122
50,90204
50,90229
50,90276
50,90294
50,90337
50,90340
60,90104
60,90151
60,90158
60,90203
60,90204
60,90236
60,90252
60,90277
60,90294
60,90314
60,90318
60,90319
60,90330
60,90353
70,90123
70,90140
70,90141
70,90146
70,90158
70,90205
70,90239
70,90271
70,90292
70,90329
70,90344
70,90364
70,90366
70,90369
80,90125
80,90126
80,90132
80,90141
80,90175
80,90180
80,90203
80,90207
80,90219
80,90232
80,90274
80,90282
80,90298
80,90337
80,90345
90,90080
90,90177
90,90182
90,90231
90,90271
90,90275
90,90294
90,90326
90,90337
90,90359
90,90368
100,90088
100,90115
100,90122
100,90151
100,90155
100,90166
100,90185
100,90250
100,90265
100,90290
100,90294
100,90350
100,90355
100,90368
110,90089
110,90102
110,90113
110,90129
110,90211
110,90244
110,90258
110,90265
110,90268
110,90278
110,90284
110,90294
110,90365
110,90372
120,90085
120,90102
120,90157
120,90171
120,90208
120,90242
120,90245
120,90265
120,90273
120,90279
120,90294
120,90332
120,90350
130,90136
130,90151
130,90154
130,90159
130,90180
130,90194
130,90283
130,90294
130,90313
130,90351
140,90088
140,90089
140,90091
140,90105
140,90106
140,90113
140,90115
140,90144
140,90150
140,90151
140,90180
140,90241
140,90257
140,90269
140,90272
140,90275
140,90291
140,90294
140,90295
140,90299
140,90319
150,90090
150,90127
150,90186
150,90193
150,90220
150,90232
150,90280
150,90294
150,90323
150,90324
150,90360
160,90123
160,90165
160,90189
160,90200
160,90256
160,90265
160,90282
160,90288
160,90294
160,90313
160,90316
160,90326
160,90333
160,90344
160,90353
170,90110
170,90111
170,90115
170,90120
170,90137
170,90138
170,90151
170,90181
170,90187
170,90212
170,90218
170,90234
170,90294
170,90306
170,90335
170,90336
180,90141
180,90144
180,90203
180,90215
180,90225
180,90273
180,90276
180,90293
180,90299
180,90345
190,90102
190,90127
190,90131
190,90162
190,90187
190,90205
190,90231
190,90259
190,90265
190,90285
190,90294
190,90312
190,90350
200,90095
200,90099
200,90151
200,90153
200,90162
200,90172
200,90191
200,90195
200,90200
200,90228
200,90236
200,90294
200,90309
210,90100
210,90124
210,90140
210,90141
210,90150
210,90188
210,90262
210,90269
210,90294
210,90333
210,90359
220,90089
220,90141
220,90185
220,90188
220,90192
220,90203
220,90219
220,90304
220,90325
220,90337
220,90341
220,90345
230,90086
230,90131
230,90141
230,90154
230,90171
230,90203
230,90206
230,90245
230,90287
230,90319
230,90359
230,90367
240,90097
240,90116
240,90118
240,90126
240,90129
240,90171
240,90175
240,90236
240,90246
240,90248
240,90254
240,90259
240,90294
240,90306
240,90343
240,90367
250,90154
250,90156
250,90193
250,90265
250,90279
250,90294
250,90305
250,90312
250,90367
250,90372
260,90097
260,90103
260,90141
260,90143
260,90144
260,90157
260,90178
260,90203
260,90206
260,90220
260,90256
260,90304
260,90318
260,90321
270,90115
270,90136
270,90151
270,90166
270,90168
270,90176
270,90213
270,90294
270,90325
280,90095
280,90141
280,90226
280,90236
280,90267
280,90275
280,90282
280,90288
280,90294
280,90368
290,90122
290,90134
290,90151
290,90199
290,90201
290,90214
290,90246
290,90272
290,90294
290,90298
300,90102
300,90131
300,90137
300,90138
300,90150
300,90200
300,90253
300,90261
300,90265
300,90294
300,90295
300,90300
300,90327
310,90141
310,90142
310,90159
310,90179
310,90211
310,90258
310,90331
310,90343
310,90371
320,90096
320,90102
320,90105
320,90112
320,90121
320,90180
320,90197
320,90232
320,90243
320,90244
320,90265
320,90268
320,90294
320,90333
320,90340
320,90342
320,90352
320,90371
330,90092
330,90107
330,90141
330,90145
330,90154
330,90211
330,90214
330,90222
330,90227
330,90241
330,90256
330,90267
330,90294
330,90320
330,90336
330,90352
330,90363
330,90365
340,90088
340,90108
340,90129
340,90136
340,90141
340,90170
340,90186
340,90192
340,90210
340,90280
340,90294
350,90099
350,90100
350,90111
350,90127
350,90140
350,90141
350,90149
350,90155
350,90165
350,90185
350,90220
350,90294
350,90312
350,90334
350,90368
350,90369
360,90150
360,90167
360,90239
360,90270
360,90294
360,90295
360,90358
370,90141
370,90144
370,90192
370,90198
370,90213
370,90220
370,90301
370,90317
370,90322
370,90335
370,90352
380,90081
380,90131
380,90141
380,90161
380,90221
380,90224
380,90231
380,90294
380,90317
380,90326
390,90116
390,90125
390,90141
390,90197
390,90203
390,90210
390,90229
390,90337
400,90083
400,90097
400,90103
400,90131
400,90141
400,90143
400,90154
400,90157
400,90161
400,90185
400,90203
400,90272
400,90318
400,90342
400,90345
410,90102
410,90103
410,90104
410,90142
410,90190
410,90241
410,90252
410,90265
410,90275
410,90294
410,90299
410,90311
420,90107
420,90141
420,90143
420,90175
420,90177
420,90225
420,90230
420,90264
420,90294
420,90307
420,90311
420,90315
420,90327
420,90362
430,90119
430,90129
430,90196
430,90294
430,90322
430,90365
430,90367
440,90156
440,90183
440,90216
440,90274
440,90294
440,90333
440,90353
440,90366
450,90086
450,90087
450,90100
450,90141
450,90220
450,90294
460,90120
460,90125
460,90151
460,90158
460,90186
460,90232
460,90275
460,90294
460,90303
460,90315
460,90323
460,90360
460,90361
470,90079
470,90093
470,90102
470,90110
470,90132
470,90196
470,90200
470,90226
470,90240
470,90241
470,90253
470,90265
470,90287
470,90288
470,90294
470,90330
470,90339
470,90348
470,90352
470,90370
470,90371
480,90104
480,90114
480,90122
480,90183
480,90241
480,90270
480,90294
480,90300
480,90307
480,90368
490,90103
490,90141
490,90149
490,90164
490,90178
490,90219
490,90227
490,90262
490,90362
490,90366
500,90138
500,90144
500,90204
500,90228
500,90258
500,90259
500,90294
500,90297
500,90342
510,90105
510,90141
510,90169
510,90270
510,90290
510,90294
510,90299
510,90318
510,90332
510,90358
520,90112
520,90115
520,90142
520,90203
520,90235
520,90237
520,90243
520,90252
520,90265
520,90269
520,90279
520,90294
520,90333
520,90336
530,90093
530,90139
530,90141
530,90145
530,90182
530,90196
530,90203
530,90277
530,90281
530,90283
530,90304
530,90357
540,90082
540,90095
540,90103
540,90141
540,90176
540,90203
540,90209
540,90212
540,90219
540,90224
540,90241
540,90243
540,90245
540,90276
540,90299
540,90305
540,90326
540,90327
540,90368
540,90371
550,90133
550,90154
550,90180
550,90213
550,90258
550,90260
550,90262
550,90294
550,90302
550,90310
550,90339
560,90085
560,90087
560,90094
560,90102
560,90107
560,90112
560,90120
560,90123
560,90141
560,90145
560,90198
560,90203
560,90216
560,90283
560,90288
560,90289
560,90303
560,90344
560,90360
570,90141
570,90184
570,90243
570,90246
570,90260
570,90294
570,90331
570,90343
570,90365
570,90368
580,90101
580,90130
580,90147
580,90161
580,90167
580,90171
580,90203
580,90275
580,90294
580,90302
580,90330
580,90356
590,90088
590,90108
590,90114
590,90139
590,90141
590,90212
590,90254
590,90279
590,90294
590,90303
590,90310
590,90316
590,90331
590,90332
600,90086
600,90091
600,90141
600,90167
600,90178
600,90203
600,90211
600,90255
600,90258
600,90263
600,90271
600,90297
600,90344
600,90361
610,90080
610,90104
610,90152
610,90154
610,90197
610,90211
610,90231
610,90240
610,90272
610,90276
610,90294
610,90305
610,90319
610,90359
610,90372
620,90118
620,90140
620,90160
620,90169
620,90207
620,90279
620,90294
620,90316
620,90357
620,90362
630,90097
630,90118
630,90129
630,90151
630,90207
630,90208
630,90237
630,90294
630,90325
630,90359
630,90368
640,90083
640,90106
640,90107
640,90113
640,90138
640,90141
640,90200
640,90201
640,90218
640,90287
640,90294
640,90332
640,90345
640,90354
650,90108
650,90127
650,90141
650,90143
650,90168
650,90210
650,90279
650,90294
650,90329
660,90086
660,90115
660,90151
660,90152
660,90187
660,90226
660,90234
660,90294
660,90307
660,90331
670,90100
670,90125
670,90133
670,90141
670,90153
670,90155
670,90158
670,90169
670,90189
670,90194
670,90200
670,90203
670,90210
670,90216
670,90234
670,90248
670,90258
670,90269
670,90272
680,90140
680,90166
680,90205
680,90220
680,90234
680,90250
680,90264
680,90273
680,90294
680,90295
680,90301
680,90321
680,90351
690,90079
690,90082
690,90107
690,90124
690,90151
690,90164
690,90196
690,90207
690,90262
690,90290
690,90294
690,90305
700,90120
700,90151
700,90155
700,90160
700,90222
700,90224
700,90258
700,90259
700,90265
700,90294
700,90295
700,90305
700,90330
710,90102
710,90118
710,90141
710,90189
710,90206
710,90211
710,90294
710,90304
710,90362
710,90372
720,90120
720,90137
720,90144
720,90151
720,90189
720,90225
720,90249
720,90276
720,90294
720,90295
720,90326
