Time (ns),trace,xx,yy,zz,yx,zx,zy
0.1,2.03942,0.689349,0.681539,0.66853,-0.00398449,-0.014334,-0.00629429
0.2,4.03499,1.36958,1.3585,1.3069,-0.00601186,-0.0315868,-0.0149402
0.3,6.01817,2.04695,2.03749,1.93373,0.000243549,-0.0505527,-0.0299349
0.4,7.99145,2.7316,2.70644,2.55341,0.00798813,-0.064876,-0.0403711
0.5,9.94381,3.42087,3.37661,3.14633,0.0163471,-0.0817087,-0.0493435
0.6,11.8923,4.12686,4.04418,3.72129,0.023041,-0.104605,-0.0701856
0.7,13.8189,4.83059,4.71663,4.27166,0.0194508,-0.123622,-0.0929777
0.8,15.7523,5.55431,5.40299,4.79501,0.0210538,-0.143799,-0.116927
0.9,17.6739,6.27959,6.0829,5.31145,0.02618,-0.164049,-0.140186
1.0,19.5957,7.00638,6.76652,5.8228,0.0285454,-0.181661,-0.161428
1.1,21.5374,7.74821,7.4524,6.33683,0.0248366,-0.208238,-0.17216
1.2,23.4775,8.50269,8.11713,6.85771,0.0278042,-0.231356,-0.1982
1.3,25.424,9.26202,8.78723,7.37473,0.0358624,-0.248834,-0.225677
1.4,27.3792,10.0229,9.46842,7.88788,0.039172,-0.283023,-0.256499
1.5,29.3332,10.7781,10.1572,8.39793,0.0384529,-0.318694,-0.296088
1.6,31.2447,11.5216,10.8297,8.89345,0.0377702,-0.353644,-0.345301
1.7,33.1277,12.2447,11.496,9.38691,0.0400889,-0.400936,-0.387646
1.8,35.0049,12.9753,12.1776,9.85192,0.04222,-0.445319,-0.419539
1.9,36.8576,13.7139,12.8613,10.2824,0.0334741,-0.475689,-0.448414
2.0,38.6926,14.4432,13.5402,10.7092,0.0243692,-0.502085,-0.481473
2.1,40.4983,15.1632,14.2158,11.1194,0.0175824,-0.51891,-0.512067
2.2,42.308,15.8889,14.9003,11.5187,0.0110985,-0.536361,-0.551084
2.3,44.1263,16.6305,15.5886,11.9073,-0.0108486,-0.538047,-0.605246
2.4,45.973,17.3843,16.3018,12.2869,-0.0369699,-0.544226,-0.653884
2.5,47.8295,18.1453,17.0224,12.6619,-0.0466335,-0.554639,-0.716134
2.6,49.7104,18.914,17.758,13.0383,-0.070493,-0.562375,-0.78604
2.7,51.5884,19.6838,18.4847,13.4198,-0.0885105,-0.578058,-0.861913
2.8,53.4869,20.4535,19.2346,13.7988,-0.112537,-0.594741,-0.948031
2.9,55.3955,21.2187,19.9885,14.1884,-0.137617,-0.608191,-1.0426
3.0,57.2854,21.9854,20.7227,14.5773,-0.157773,-0.633063,-1.12786
3.1,59.1474,22.7453,21.4618,14.9403,-0.182929,-0.663203,-1.21754
3.2,61.0328,23.4922,22.2269,15.3137,-0.203984,-0.703237,-1.28401
3.3,62.8873,24.2232,22.9726,15.6915,-0.241842,-0.751558,-1.34624
3.4,64.7609,24.9755,23.7125,16.0728,-0.276965,-0.804225,-1.4105
3.5,66.6295,25.7434,24.4519,16.4342,-0.314223,-0.854442,-1.46104
