Time (ns),trace,xx,yy,zz,yx,zx,zy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.05657,0.691964,0.689206,0.675404,0.00334865,-0.00790198,0.0052159
0.2,4.07526,1.37219,1.36981,1.33326,0.00573636,-0.0124762,0.00837207
0.3,6.07049,2.05135,2.03918,1.97996,0.00350365,-0.0210928,0.0126718
0.4,8.06854,2.73325,2.71808,2.61721,0.0030367,-0.0344764,0.0117501
0.5,10.0882,3.42408,3.41158,3.25252,0.00652429,-0.0452467,-0.000796094
0.6,12.0998,4.12882,4.09713,3.87381,0.0105265,-0.0538731,-0.0185162
0.7,14.1076,4.83418,4.78392,4.48948,0.00768499,-0.0609183,-0.0458249
0.8,16.1131,5.54528,5.47116,5.09662,0.0085655,-0.0710836,-0.0848077
0.9,18.1078,6.26585,6.1562,5.6858,0.00231604,-0.0781635,-0.116149
1.0,20.0613,6.97281,6.82163,6.26687,-0.00372784,-0.0904081,-0.154142
1.1,21.9876,7.6632,7.47991,6.84445,-0.00407283,-0.0988716,-0.196164
1.2,23.8819,8.34924,8.13197,7.40073,0.00288162,-0.112502,-0.228002
1.3,25.7763,9.0344,8.78751,7.95443,0.0108912,-0.138998,-0.261411
1.4,27.6768,9.71915,9.4418,8.5158,0.0270194,-0.163871,-0.288812
1.5,29.6003,10.4225,10.1044,9.07329,0.0392957,-0.186598,-0.305467
1.6,31.4895,11.1258,10.741,9.62277,0.047017,-0.214278,-0.319619
1.7,33.3917,11.8263,11.388,10.1773,0.0713818,-0.256588,-0.338294
1.8,35.2624,12.5093,12.0276,10.7255,0.107469,-0.311178,-0.359683
1.9,37.0989,13.1839,12.668,11.247,0.147692,-0.362007,-0.377773
2.0,38.9297,13.8689,13.3024,11.7583,0.193643,-0.411163,-0.410746
2.1,40.7844,14.5618,13.9417,12.2809,0.229354,-0.470764,-0.444184
2.2,42.6294,15.2555,14.585,12.7889,0.265146,-0.541391,-0.479922
2.3,44.4864,15.9709,15.2338,13.2818,0.298469,-0.609273,-0.527502
2.4,46.3159,16.6719,15.8805,13.7634,0.339917,-0.668897,-0.577541
2.5,48.1535,17.3917,16.5436,14.2182,0.397836,-0.71948,-0.634638
2.6,49.9564,18.0789,17.2048,14.6727,0.448967,-0.763971,-0.70151
2.7,51.7551,18.7754,17.8674,15.1124,0.494171,-0.802192,-0.770152
2.8,53.5503,19.4688,18.5258,15.5557,0.53134,-0.840981,-0.830482
2.9,55.3164,20.1569,19.1866,15.9728,0.558542,-0.869618,-0.892077
3.0,57.0869,20.8412,19.849,16.3967,0.586744,-0.904704,-0.949244
3.1,58.8224,21.5201,20.4919,16.8104,0.619422,-0.939328,-1.0028
3.2,60.5159,22.1967,21.1068,17.2124,0.642671,-0.97282,-1.05542
3.3,62.1835,22.8681,21.7222,17.5932,0.681164,-1.02428,-1.11062
3.4,63.8507,23.5393,22.362,17.9494,0.700042,-1.07463,-1.16662
3.5,65.5121,24.1967,23.0113,18.3041,0.704005,-1.12743,-1.22879
3.6,67.1622,24.8656,23.6439,18.6527,0.698817,-1.15711,-1.31483
3.7,68.8044,25.5258,24.2778,19.0008,0.691513,-1.19989,-1.40719
3.8,70.4457,26.1639,24.9242,19.3576,0.700572,-1.24512,-1.49297
3.9,72.0732,26.7988,25.5659,19.7086,0.726544,-1.29448,-1.5716
4.0,73.7215,27.4218,26.2213,20.0783,0.758846,-1.33987,-1.65745
4.1,75.3793,28.015,26.9077,20.4566,0.780878,-1.3775,-1.73665
4.2,77.0735,28.6244,27.6005,20.8486,0.798293,-1.39515,-1.809
4.3,78.7637,29.2547,28.2971,21.2119,0.808776,-1.41017,-1.86851
4.4,80.4064,29.8666,28.9807,21.5591,0.810032,-1.44672,-1.89646
4.5,82.0467,30.4751,29.6732,21.8985,0.814166,-1.51448,-1.92557
4.6,83.6884,31.1045,30.371,22.2128,0.815681,-1.58283,-1.96946
4.7,85.3278,31.736,31.0694,22.5224,0.794061,-1.66659,-2.02145
4.8,86.9775,32.3637,31.8006,22.8131,0.777815,-1.75821,-2.0711
4.9,88.6431,33.0297,32.5316,23.0818,0.765945,-1.83454,-2.11038
5.0,90.3073,33.6955,33.2723,23.3395,0.7453,-1.8985,-2.16958
5.1,91.9926,34.37,34.0269,23.5956,0.702841,-1.96054,-2.22164
5.2,93.6856,35.0423,34.8006,23.8427,0.660053,-2.04036,-2.2792
5.3,95.3725,35.7049,35.5873,24.0804,0.62296,-2.12638,-2.36242
5.4,96.9877,36.3156,36.3706,24.3015,0.578206,-2.2089,-2.44486
5.5,98.5839,36.9469,37.1384,24.4986,0.548554,-2.27886,-2.51114
5.6,100.104,37.543,37.8666,24.6949,0.534155,-2.32976,-2.56574
5.7,101.587,38.1315,38.573,24.8823,0.52394,-2.38328,-2.63337
5.8,103.07,38.7381,39.2648,25.0673,0.490675,-2.41784,-2.66422
5.9,104.609,39.3788,39.9735,25.2569,0.439138,-2.42694,-2.70018
6.0,106.133,39.9969,40.6884,25.4475,0.388307,-2.45636,-2.73427
6.1,107.624,40.6125,41.3687,25.6431,0.347416,-2.49819,-2.77001
6.2,109.131,41.2532,42.0438,25.8341,0.32,-2.55293,-2.80298
6.3,110.609,41.8602,42.72,26.0288,0.297417,-2.60204,-2.86293
6.4,112.124,42.4628,43.4516,26.2095,0.281253,-2.67612,-2.93283
6.5,113.598,43.0673,44.1725,26.3586,0.261776,-2.74323,-3.00513
6.6,115.033,43.6497,44.8466,26.5367,0.277904,-2.77381,-3.09041
6.7,116.508,44.2315,45.5199,26.7564,0.292885,-2.82695,-3.1748
6.8,117.951,44.8211,46.1756,26.9539,0.304524,-2.91237,-3.24032
6.9,119.404,45.4416,46.8036,27.1591,0.300502,-2.99369,-3.31577
7.0,120.866,46.094,47.4427,27.3295,0.270135,-3.08622,-3.35336
7.1,122.305,46.7315,48.0438,27.5293,0.223496,-3.16519,-3.36562
7.2,123.807,47.3811,48.6347,27.7908,0.222651,-3.26036,-3.40427
7.3,125.237,48.017,49.1874,28.0328,0.232833,-3.38439,-3.44348
7.4,126.614,48.6498,49.6851,28.2796,0.212688,-3.49162,-3.52723
7.5,128.014,49.2869,50.2068,28.5204,0.239253,-3.60189,-3.63824
7.6,129.464,49.9488,50.7771,28.7386,0.28098,-3.70578,-3.73905
7.7,131.022,50.6719,51.3843,28.9662,0.277451,-3.82661,-3.87629
7.8,132.581,51.3765,51.9955,29.2092,0.240234,-4.00122,-4.00444
7.9,134.186,52.1322,52.6431,29.4108,0.163011,-4.1453,-4.09569
8.0,135.706,52.8338,53.321,29.5513,0.143258,-4.34596,-4.15014
8.1,137.236,53.5116,54.0118,29.7128,0.0939707,-4.50778,-4.18579
8.2,138.769,54.2208,54.6901,29.8584,0.107319,-4.63585,-4.27334
8.3,140.424,54.9639,55.4105,30.0497,0.078639,-4.79673,-4.41411
8.4,141.97,55.6591,56.0076,30.3032,0.0139832,-4.98273,-4.55427
8.5,143.482,56.3771,56.6083,30.4963,-0.0768944,-5.17,-4.64856
8.6,145.202,57.1925,57.2933,30.7162,-0.15672,-5.34653,-4.86486
8.7,146.884,57.9301,57.9701,30.9836,-0.137471,-5.52494,-5.09867
8.8,148.567,58.8435,58.4525,31.2707,-0.123366,-5.67248,-5.38479
8.9,150.132,59.7342,58.967,31.431,-0.119476,-5.81201,-5.65805
9.0,151.844,60.7662,59.6239,31.4537,-0.11801,-5.91446,-5.92038
9.1,153.65,61.7353,60.4348,31.4796,-0.175182,-5.98246,-6.24378
9.2,155.326,62.5966,61.2477,31.482,-0.272697,-5.97989,-6.5083
9.3,156.821,63.3463,62.0082,31.466,-0.238236,-6.07507,-6.69612
9.4,158.001,63.9287,62.5908,31.4811,-0.187668,-6.17474,-6.75857
9.5,158.843,64.4479,62.7396,31.6556,-0.19235,-6.39856,-6.83493
9.6,159.775,65.0103,63.0971,31.6672,-0.206982,-6.63691,-6.72579
9.7,160.703,65.3967,63.527,31.7794,0.0417708,-6.89981,-6.83878
9.8,161.661,65.8242,64.12,31.7169,0.247284,-7.00112,-6.76841
9.9,163.031,66.2148,64.9328,31.8836,0.388491,-6.9787,-6.62541
10.0,164.829,66.6957,66.1326,32.001,0.18188,-7.30696,-6.404
