Time (ns),<D> (1e-5 cm²/s),EE
10.0,2.5808,0.5116
20.0,2.7732,0.197
30.0,2.8723,0.4264
40.0,2.6951,0.2062
50.0,2.7762,0.2018
60.0,2.8448,0.4052
70.0,3.1009,0.2437
80.0,2.6069,0.6728
90.0,3.0869,0.2309
100.0,2.6697,0.443
110.0,2.8621,0.4895
120.0,2.8368,0.4492
130.0,2.9118,0.0722
140.0,2.36,0.7047
150.0,2.6774,0.3432
160.0,2.8084,0.4202
170.0,2.6265,0.2339
180.0,2.774,0.4392
190.0,2.816,0.3966
200.0,2.5538,0.5315
210.0,2.5826,0.8023
220.0,2.871,0.2893
230.0,3.0924,0.0156
240.0,2.5107,0.3647
250.0,2.6589,0.351
260.0,2.6479,0.0717
270.0,2.6033,0.5761
280.0,2.569,0.3424
290.0,2.8106,0.494
300.0,2.6647,0.7053
310.0,2.8929,0.1784
320.0,2.872,0.2593
330.0,2.933,0.4011
340.0,2.7404,0.4019
350.0,2.7925,0.3721
360.0,2.8432,0.0302
370.0,2.889,0.1356
380.0,2.8005,0.2344
390.0,2.6499,0.1992
400.0,2.8513,0.0027
410.0,2.7906,0.1312
420.0,2.7954,0.7665
430.0,2.7607,0.3429
440.0,2.7394,0.2162
450.0,2.8105,0.3868
460.0,2.4448,0.4631
470.0,3.0405,0.0614
480.0,2.816,0.3974
490.0,2.9865,0.2584
500.0,2.5432,0.6896
510.0,2.6541,0.0041
520.0,3.0574,0.1084
530.0,2.5638,0.5334
540.0,2.5465,0.1877
550.0,2.5442,0.5745
560.0,2.5874,0.4491
570.0,2.8141,0.233
580.0,2.8249,0.1947
590.0,2.6681,0.3411
600.0,2.8271,0.2704
610.0,2.9597,0.3256
620.0,2.9195,0.2987
630.0,2.6041,0.251
640.0,2.4654,0.204
650.0,2.6021,0.3979
660.0,2.741,0.1145
670.0,2.5973,0.2671
680.0,2.871,0.3648
690.0,2.5904,0.4214
700.0,2.9644,0.1125
710.0,3.024,0.2457
720.0,2.7184,0.5434
730.0,2.4531,0.6279
740.0,2.7885,0.337
750.0,2.8314,0.3627
760.0,2.7137,0.1524
770.0,2.981,0.3332
780.0,2.583,0.3576
790.0,2.9192,0.414
800.0,2.5516,0.4193
810.0,2.6264,0.4618
820.0,2.5502,0.4921
830.0,2.8956,0.1202
840.0,3.039,0.1268
850.0,2.9084,0.1726
860.0,3.0354,0.1397
870.0,3.0474,0.0568
880.0,2.7697,0.2013
890.0,2.8412,0.3287
900.0,2.6761,0.3235
910.0,2.8507,0.0814
920.0,2.5889,0.5191
930.0,2.7595,0.3368
940.0,2.4683,0.4092
950.0,2.8157,0.1949
960.0,2.6378,0.3492
970.0,2.7214,0.509
980.0,2.796,0.0763
990.0,2.272,0.1819
1000.0,2.6839,0.3174
