Atom id,Diffusion Coefficient (cm²/s)
1,1.83383
2,1.3426
3,5.40361
4,0.0713925
5,4.82951
6,2.38977
7,1.76176
8,1.05354
9,2.30316
10,2.02549
11,3.0546
12,4.86007
13,1.04519
14,2.10319
15,2.07601
16,1.15351
17,4.70268
18,2.59466
19,0.188967
20,6.19838
21,0.647602
22,0.60741
23,5.80864
24,1.67081
25,2.15568
26,2.39511
27,1.34184
28,1.42679
29,0.120303
30,4.12292
31,1.53308
32,0.301741
33,2.42492
34,0.59684
35,0.497817
36,1.23363
37,1.58669
38,11.2558
39,2.39339
40,4.605
41,1.9638
42,0.33501
43,0.481792
44,1.95416
45,1.69317
46,1.14141
47,1.92272
48,0.345854
49,5.17131
50,2.72115
51,3.93892
52,2.89797
53,1.5871
54,2.66113
55,5.66989
56,1.67982
57,1.89978
58,1.28675
59,0.994333
60,2.44968
61,0.65829
62,3.18488
63,1.96383
64,1.35169
65,3.05956
66,3.21775
67,1.25646
68,2.25888
69,1.00614
70,1.43517
71,6.4074
72,0.0605468
73,1.8405
74,3.57999
75,1.50833
76,2.38555
77,1.19143
78,4.03702
79,6.37917
80,1.07505
81,2.94881
82,0.589607
83,8.72564
84,4.0501
85,1.18175
86,4.74514
87,1.60092
88,0.960718
89,4.90747
90,0.472021
91,3.40885
92,3.47251
93,2.32268
94,1.88011
95,2.64315
96,3.23487
97,4.46544
98,1.7474
99,0.363449
100,1.39623
101,2.23181
102,7.5388
103,4.33379
104,1.49006
105,1.29214
106,0.924993
107,1.80167
108,3.60179
109,2.67541
110,1.34956
111,0.532775
112,3.23726
113,1.85776
114,1.12094
115,1.20268
116,5.51365
117,2.06687
118,2.53607
119,1.56727
120,2.12493
121,0.0606572
122,2.18535
123,1.54523
124,3.11631
125,1.45142
126,3.75026
127,5.31014
128,2.3363
129,1.96945
130,1.28568
131,1.28381
132,3.01543
133,1.59032
134,4.27933
135,0.28858
136,1.82412
137,2.03002
138,4.45467
139,2.02226
140,0.93862
141,1.02515
142,1.71599
143,1.40156
144,5.19212
145,2.65767
146,3.45593
147,2.23874
148,2.76788
149,2.78924
150,0.199106
151,8.85251
152,1.7321
153,3.92028
154,1.51399
155,1.95763
156,1.07583
157,5.65999
158,1.8429
159,4.27809
160,3.07466
161,1.17213
162,1.42881
163,2.50137
164,2.02356
165,3.65993
166,2.77549
167,1.83183
168,0.714491
169,4.04815
170,3.45758
171,8.03517
172,0.876254
173,0.272812
174,1.93937
175,2.10789
176,1.30921
177,1.33386
178,1.68587
179,1.48378
180,0.513406
181,0.576885
182,2.70875
183,6.16552
184,1.81715
185,0.245008
186,7.46272
187,10.5795
188,0.993829
189,0.534592
190,3.02983
191,2.25704
192,1.96693
193,4.08556
194,1.13129
195,2.42235
196,4.68286
197,1.20138
198,4.16766
199,1.20491
200,4.22238
201,1.13742
202,0.180092
203,2.16234
204,10.0637
205,2.75799
206,0.333415
207,2.10133
208,2.5546
209,3.85157
210,3.92386
211,0.962041
212,10.2975
213,7.12716
214,3.64528
215,1.04479
216,3.33405
217,0.81921
218,2.94143
219,2.11885
220,2.50967
221,3.67024
222,4.19016
223,0.561826
224,3.48963
225,0.609375
226,0.837463
227,3.036
228,10.0513
229,6.34263
230,3.38273
231,3.14938
232,5.12075
233,3.82123
234,2.57247
235,1.34834
236,0.921889
237,1.89995
238,3.98274
239,1.03392
240,8.77605
241,0.889719
242,0.614524
243,2.44673
244,3.36128
245,2.96456
246,0.41346
247,6.11245
248,1.7733
249,2.69516
250,0.315877
251,3.05383
252,5.41547
253,6.11778
254,1.83196
255,4.50362
256,3.85525
257,4.93429
258,3.92145
259,1.31798
260,1.55625
261,3.79381
262,3.91307
263,4.64877
264,1.07681
265,1.56914
266,4.34254
267,0.965565
268,2.19635
269,1.6438
270,2.88572
271,3.93689
272,6.43354
273,1.18579
274,3.09116
275,1.14442
276,0.492619
277,0.981546
278,0.609463
279,4.3127
280,0.0
281,2.56106
282,2.49789
283,0.629858
284,2.5666
285,0.984637
