Time (ns),GROMACS id
10,89703
10,89721
10,89734
10,89773
10,89788
10,89841
10,89846
10,89864
10,89866
10,89884
10,89929
10,89951
10,89961
10,89971
20,89736
20,89737
20,89770
20,89781
20,89785
20,89787
20,89792
20,89799
20,89872
20,89906
20,89913
20,89922
20,89961
20,89976
20,89984
30,89771
30,89784
30,89819
30,89826
30,89891
30,89895
30,89905
30,89908
30,89937
30,89979
30,89983
40,89712
40,89760
40,89768
40,89775
40,89808
40,89855
40,89863
40,89875
40,89878
40,89926
40,89942
40,89969
50,89705
50,89755
50,89778
50,89785
50,89797
50,89804
50,89826
50,89849
50,89862
50,89875
50,89881
50,89882
50,89905
50,89908
50,89927
50,89939
50,89944
60,89707
60,89712
60,89731
60,89738
60,89765
60,89774
60,89837
60,89855
60,89904
60,89911
60,89928
60,89937
60,89948
60,89949
60,89959
60,89967
60,89971
70,89702
70,89705
70,89787
70,89809
70,89822
70,89842
70,89854
70,89885
70,89887
70,89890
70,89938
70,89970
80,89702
80,89709
80,89809
80,89837
80,89841
80,89842
80,89851
80,89873
80,89889
80,89956
80,89961
80,89962
80,89983
90,89712
90,89744
90,89776
90,89782
90,89805
90,89916
90,89935
90,89942
90,89967
90,89969
90,89974
90,89977
90,89985
100,89712
100,89715
100,89717
100,89777
100,89802
100,89811
100,89812
100,89880
100,89903
100,89936
100,89965
100,89970
110,89798
110,89813
110,89855
110,89868
110,89939
110,89970
120,89715
120,89731
120,89745
120,89773
120,89833
120,89854
120,89863
120,89872
120,89908
120,89932
120,89951
120,89972
120,89976
120,89981
130,89725
130,89728
130,89791
130,89794
130,89831
130,89855
130,89928
130,89935
130,89966
140,89755
140,89759
140,89765
140,89782
140,89793
140,89824
140,89832
140,89844
140,89845
140,89853
140,89870
140,89887
140,89903
140,89905
140,89960
140,89962
140,89963
140,89970
140,89972
150,89705
150,89729
150,89830
150,89831
150,89835
150,89866
150,89869
150,89899
150,89964
150,89966
150,89982
160,89743
160,89784
160,89787
160,89803
160,89818
160,89869
160,89893
160,89899
160,89947
160,89952
160,89959
160,89961
160,89966
170,89715
170,89720
170,89741
170,89747
170,89762
170,89773
170,89799
170,89813
170,89826
170,89830
170,89850
170,89897
170,89906
170,89951
170,89961
170,89971
170,89977
170,89986
180,89707
180,89728
180,89769
180,89784
180,89840
180,89851
180,89855
180,89862
180,89863
180,89895
180,89905
180,89931
180,89934
180,89953
190,89711
190,89715
190,89743
190,89796
190,89800
190,89817
190,89838
190,89858
190,89862
190,89881
190,89902
190,89911
190,89920
190,89927
190,89928
190,89961
190,89972
200,89709
200,89711
200,89748
200,89753
200,89772
200,89783
200,89789
200,89809
200,89833
200,89837
200,89838
200,89840
200,89842
200,89852
200,89883
200,89890
200,89961
210,89728
210,89766
210,89773
210,89798
210,89807
210,89827
210,89854
210,89863
210,89874
210,89948
210,89951
210,89961
220,89720
220,89759
220,89768
220,89773
220,89779
220,89852
220,89860
220,89872
220,89906
220,89922
220,89941
220,89951
220,89961
230,89705
230,89734
230,89742
230,89750
230,89802
230,89835
230,89861
230,89871
230,89873
230,89905
230,89914
230,89961
240,89730
240,89739
240,89806
240,89895
240,89898
240,89905
240,89919
240,89932
240,89965
240,89975
250,89705
250,89708
250,89750
250,89763
250,89779
250,89781
250,89783
250,89784
250,89811
250,89829
250,89869
250,89877
250,89895
250,89898
250,89904
250,89905
250,89960
250,89961
260,89758
260,89799
260,89841
260,89878
260,89879
260,89883
260,89896
260,89904
260,89905
260,89953
270,89703
270,89709
270,89735
270,89736
270,89751
270,89756
270,89777
270,89797
270,89809
270,89822
270,89837
270,89842
270,89852
270,89865
270,89884
270,89893
270,89906
270,89929
270,89955
270,89961
280,89711
280,89773
280,89817
280,89860
280,89887
280,89906
280,89951
280,89952
280,89961
280,89966
280,89978
290,89709
290,89721
290,89726
290,89734
290,89740
290,89776
290,89803
290,89845
290,89864
290,89867
290,89875
290,89889
290,89902
290,89906
290,89917
290,89919
290,89970
300,89713
300,89745
300,89746
300,89794
300,89813
300,89818
300,89849
300,89858
300,89926
300,89936
300,89951
300,89961
300,89962
300,89982
310,89705
310,89712
310,89734
310,89739
310,89750
310,89778
310,89788
310,89799
310,89805
310,89836
310,89838
310,89895
310,89899
310,89905
310,89919
310,89968
310,89975
310,89977
320,89732
320,89773
320,89814
320,89830
320,89849
320,89880
320,89906
320,89917
320,89933
320,89951
320,89956
320,89961
330,89712
330,89748
330,89773
330,89778
330,89807
330,89823
330,89886
330,89906
330,89917
330,89951
330,89961
330,89981
340,89703
340,89754
340,89796
340,89845
340,89858
340,89867
340,89905
340,89932
340,89936
340,89941
340,89954
340,89961
340,89962
340,89972
350,89709
350,89720
350,89740
350,89796
350,89845
350,89867
350,89875
350,89880
350,89901
350,89924
350,89928
350,89984
360,89705
360,89729
360,89764
360,89808
360,89841
360,89882
360,89894
360,89895
360,89905
360,89906
360,89929
360,89949
370,89702
370,89730
370,89731
370,89755
370,89790
370,89809
370,89811
370,89842
370,89876
370,89882
370,89906
370,89908
370,89924
370,89926
370,89928
370,89933
370,89939
370,89978
380,89754
380,89755
380,89778
380,89784
380,89797
380,89835
380,89843
380,89855
380,89858
380,89872
380,89896
380,89903
380,89914
380,89927
380,89961
380,89972
390,89719
390,89805
390,89813
390,89821
390,89825
390,89830
390,89960
390,89970
400,89709
400,89809
400,89821
400,89834
400,89842
400,89855
400,89876
400,89881
400,89914
400,89927
400,89935
400,89961
400,89969
410,89705
410,89706
410,89708
410,89715
410,89783
410,89795
410,89803
410,89807
410,89827
410,89835
410,89850
410,89852
420,89773
420,89788
420,89809
420,89855
420,89864
420,89900
420,89906
420,89927
420,89951
420,89961
430,89709
430,89711
430,89791
430,89801
430,89809
430,89852
430,89855
430,89860
430,89881
430,89896
430,89930
430,89961
440,89702
440,89705
440,89709
440,89711
440,89757
440,89771
440,89809
440,89812
440,89820
440,89821
440,89822
440,89826
440,89842
440,89851
440,89853
440,89862
440,89866
440,89873
440,89881
440,89892
440,89952
440,89961
450,89716
450,89773
450,89819
450,89826
450,89853
450,89880
450,89886
450,89896
450,89936
450,89972
450,89979
460,89702
460,89703
460,89732
460,89753
460,89777
460,89799
460,89809
460,89842
460,89933
460,89939
460,89946
460,89953
470,89754
470,89775
470,89777
470,89794
