Time (ns),trace,xx,yy,zz,yx,zx,zy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.11036,0.708849,0.718368,0.683143,-0.00010367,-0.00565839,-0.00240119
0.2,4.15276,1.39611,1.42583,1.33083,0.00362242,-0.00698301,0.0143085
0.3,6.19022,2.08959,2.13181,1.96882,0.00548547,-0.0064027,0.0438667
0.4,8.2108,2.78588,2.82111,2.60381,0.00438216,-0.00197603,0.0721693
0.5,10.1923,3.48025,3.50076,3.2113,-0.00138435,-0.00282375,0.0960957
0.6,12.1538,4.17068,4.17157,3.81158,0.00476501,-0.0063235,0.125389
0.7,14.1186,4.86057,4.85787,4.40013,0.00624076,-0.0152621,0.162838
0.8,16.0593,5.55399,5.53182,4.9735,0.00592926,-0.0230081,0.202666
0.9,17.9784,6.25064,6.20291,5.52487,0.000310531,-0.0312407,0.221528
1.0,19.8854,6.96178,6.87277,6.05087,-0.00319154,-0.0378675,0.22632
1.1,21.7901,7.67218,7.54664,6.57133,-0.0169643,-0.039098,0.216634
1.2,23.6902,8.39533,8.22167,7.07317,-0.0330607,-0.034807,0.206903
1.3,25.5829,9.12073,8.90333,7.55888,-0.0430604,-0.0309308,0.204346
1.4,27.4578,9.84451,9.5766,8.03672,-0.0601506,-0.0244841,0.193641
1.5,29.306,10.5689,10.2498,8.48734,-0.0660338,-0.00545236,0.18376
1.6,31.1323,11.2851,10.9079,8.93936,-0.0786832,0.00834005,0.179962
1.7,32.9579,12.0154,11.5561,9.38636,-0.0845623,0.0209613,0.175805
1.8,34.7457,12.7407,12.1867,9.81835,-0.10344,0.035365,0.186451
1.9,36.5206,13.4684,12.8074,10.2447,-0.124139,0.0445322,0.204932
2.0,38.2872,14.1978,13.4303,10.6591,-0.148556,0.0543576,0.217457
2.1,40.0687,14.9334,14.0709,11.0645,-0.16661,0.0562294,0.228962
2.2,41.8462,15.6641,14.7171,11.4651,-0.18328,0.0622545,0.228322
2.3,43.6183,16.3855,15.373,11.8598,-0.204886,0.0656467,0.222051
2.4,45.3866,17.1104,16.0218,12.2545,-0.231813,0.068451,0.206233
2.5,47.1372,17.8208,16.6612,12.6553,-0.252149,0.058546,0.189732
2.6,48.8772,18.5324,17.2896,13.0552,-0.269413,0.055176,0.165359
2.7,50.5712,19.2242,17.9118,13.4352,-0.29213,0.0671503,0.154028
2.8,52.2426,19.9045,18.5386,13.7995,-0.309678,0.0800387,0.141793
2.9,53.8973,20.5885,19.1481,14.1607,-0.318755,0.100095,0.12883
3.0,55.5509,21.2596,19.7643,14.5271,-0.324405,0.115379,0.116336
3.1,57.2125,21.9204,20.3992,14.8929,-0.328551,0.133894,0.0914345
3.2,58.8728,22.5822,21.0545,15.2361,-0.347215,0.161882,0.0639611
3.3,60.5145,23.2513,21.6869,15.5763,-0.350889,0.172083,0.017147
3.4,62.1201,23.9002,22.3023,15.9176,-0.343753,0.17752,-0.0248938
3.5,63.7056,24.5354,22.9278,16.2424,-0.321288,0.209613,-0.0622087
3.6,65.2743,25.1748,23.5466,16.553,-0.296135,0.237224,-0.0967659
3.7,66.8108,25.8102,24.1378,16.8628,-0.256984,0.268911,-0.114238
3.8,68.3054,26.4267,24.7186,17.1601,-0.200609,0.290341,-0.128001
3.9,69.7773,27.0235,25.3004,17.4534,-0.163266,0.311093,-0.144472
4.0,71.2869,27.6421,25.8865,17.7583,-0.117077,0.304907,-0.166087
4.1,72.7849,28.2415,26.4714,18.072,-0.0594665,0.286533,-0.203415
4.2,74.2561,28.8237,27.051,18.3814,0.00725809,0.282917,-0.246627
4.3,75.7279,29.3932,27.6208,18.714,0.0783833,0.268367,-0.28909
4.4,77.2011,29.959,28.2025,19.0396,0.149687,0.242628,-0.34731
4.5,78.6712,30.5164,28.8101,19.3448,0.210902,0.215154,-0.412393
4.6,80.1288,31.0407,29.4381,19.65,0.29068,0.200371,-0.481146
4.7,81.6092,31.5743,30.1001,19.9348,0.340921,0.174334,-0.539481
4.8,82.9988,32.0491,30.749,20.2007,0.375881,0.159897,-0.606444
4.9,84.3714,32.5465,31.3707,20.4543,0.414524,0.150972,-0.684773
5.0,85.7191,33.0284,31.9838,20.7069,0.464212,0.142993,-0.75198
5.1,87.0676,33.5573,32.589,20.9212,0.536829,0.116593,-0.835903
5.2,88.4297,34.0996,33.1676,21.1625,0.603782,0.0876458,-0.905743
5.3,89.819,34.6837,33.7472,21.3881,0.69879,0.0423372,-0.982781
5.4,91.1773,35.2494,34.3165,21.6114,0.788148,-0.00712873,-1.06203
5.5,92.5576,35.8148,34.8836,21.8592,0.87172,-0.070323,-1.14669
5.6,93.9226,36.3614,35.4478,22.1135,0.947401,-0.127137,-1.23307
5.7,95.2162,36.8817,35.9829,22.3517,1.00806,-0.171135,-1.30237
5.8,96.4725,37.3916,36.4905,22.5904,1.06461,-0.207942,-1.37775
5.9,97.7447,37.9123,36.9847,22.8478,1.11782,-0.216433,-1.43902
6.0,98.9864,38.4617,37.4455,23.0791,1.16563,-0.223169,-1.48654
6.1,100.209,38.9656,37.9385,23.3047,1.22524,-0.261715,-1.53838
6.2,101.464,39.4827,38.4681,23.5135,1.26992,-0.300375,-1.58108
6.3,102.693,39.9799,38.9867,23.7267,1.30931,-0.320993,-1.61127
6.4,104.043,40.521,39.5176,24.004,1.36844,-0.346367,-1.6603
6.5,105.454,41.0812,40.0733,24.2998,1.44632,-0.386517,-1.73388
6.6,106.822,41.6334,40.5894,24.5995,1.48927,-0.434472,-1.78888
6.7,108.24,42.2233,41.0883,24.9284,1.54481,-0.471365,-1.8549
6.8,109.642,42.7766,41.5811,25.284,1.58156,-0.509204,-1.90754
6.9,111.043,43.3061,42.0896,25.6473,1.58761,-0.50775,-1.96616
7.0,112.424,43.8578,42.5601,26.0064,1.61619,-0.525867,-2.01129
7.1,113.847,44.4211,43.0625,26.3639,1.6331,-0.549379,-2.06499
7.2,115.306,44.9887,43.5708,26.7461,1.62607,-0.560674,-2.10911
7.3,116.75,45.5813,44.0332,27.1358,1.60128,-0.512183,-2.16471
7.4,118.248,46.1955,44.5311,27.5213,1.63106,-0.48511,-2.21152
7.5,119.753,46.8005,45.0345,27.9176,1.64777,-0.450507,-2.23694
7.6,121.211,47.4103,45.4629,28.3378,1.64538,-0.443383,-2.24992
7.7,122.739,48.03,45.9699,28.7394,1.6403,-0.423984,-2.21535
7.8,124.305,48.7073,46.4704,29.1276,1.63807,-0.424539,-2.18286
7.9,125.779,49.3731,46.92,29.4861,1.56838,-0.475819,-2.12516
8.0,127.379,50.0549,47.3644,29.9594,1.45623,-0.555374,-2.06302
8.1,128.939,50.693,47.824,30.4221,1.30318,-0.560886,-2.03359
8.2,130.459,51.3687,48.2812,30.8095,1.12948,-0.547926,-2.02831
8.3,131.934,52.1058,48.6815,31.1462,0.946843,-0.538717,-1.99474
8.4,133.384,52.8864,49.0838,31.4135,0.768018,-0.508921,-2.01089
8.5,134.815,53.5385,49.4876,31.7888,0.507282,-0.484522,-2.00475
8.6,136.236,54.1234,49.8767,32.2356,0.268625,-0.416632,-1.99509
8.7,137.706,54.7268,50.3101,32.6686,-0.010985,-0.398439,-1.96633
8.8,139.19,55.417,50.6669,33.1059,-0.26155,-0.392047,-2.00817
8.9,140.456,56.0403,51.016,33.3994,-0.45888,-0.264682,-2.01519
9.0,141.678,56.8232,51.3912,33.4637,-0.688226,-0.166052,-2.10493
9.1,142.722,57.601,51.6949,33.4261,-0.82344,0.0331356,-2.18705
9.2,143.768,58.4311,51.9575,33.3793,-1.03306,0.188067,-2.22202
9.3,144.611,59.1581,52.0868,33.3657,-1.06977,0.357374,-2.17643
9.4,145.625,59.9523,52.2069,33.4654,-0.934784,0.42506,-2.06921
9.5,146.963,60.8738,52.4894,33.6,-0.899345,0.557598,-1.90945
9.6,148.463,61.983,52.8848,33.5956,-0.961022,0.734643,-1.68717
9.7,149.492,62.6522,53.0665,33.7729,-0.833367,0.764908,-1.56591
9.8,150.314,63.0428,53.608,33.663,-0.689844,0.845223,-1.39146
9.9,151.653,63.3499,54.5539,33.7495,0.0118134,0.757708,-0.79594
10.0,153.257,63.4338,55.3195,34.5033,-0.574903,0.557673,-0.400996
