Time (ns),trace,xx,yy,zz,yx,zx,zy
0.1,2.0637,0.69301,0.696532,0.674157,-0.00473448,-0.00170509,0.00845685
0.2,4.08585,1.37872,1.3766,1.33052,-0.0109345,-0.000201937,0.00570807
0.3,6.10151,2.058,2.0627,1.98081,-0.0119769,0.00423038,0.00877763
0.4,8.1093,2.73861,2.74502,2.62567,-0.00716707,0.00853084,0.0180517
0.5,10.1022,3.42471,3.41689,3.26062,-0.0151577,0.00984174,0.0300911
0.6,12.0779,4.11825,4.09594,3.86375,-0.0261901,0.0147832,0.0454315
0.7,14.0388,4.82247,4.75631,4.45999,-0.0449711,0.0116526,0.0576306
0.8,15.9789,5.50757,5.41725,5.05405,-0.0624098,-0.00062991,0.0804609
0.9,17.9044,6.19225,6.08041,5.63174,-0.0797956,-0.0118076,0.10953
1.0,19.8046,6.86738,6.73973,6.19751,-0.103105,-0.0217804,0.138813
1.1,21.7037,7.53924,7.39836,6.76608,-0.132405,-0.0204181,0.174579
1.2,23.6089,8.22263,8.06961,7.31661,-0.173738,-0.0221389,0.20243
1.3,25.4986,8.90374,8.73939,7.85546,-0.214691,-0.0189503,0.223996
1.4,27.4127,9.58994,9.41887,8.40392,-0.253859,-0.0156144,0.242385
1.5,29.3078,10.2591,10.1031,8.94568,-0.282711,-0.0238827,0.268307
1.6,31.2059,10.9316,10.7839,9.49035,-0.335552,-0.0243881,0.297693
1.7,33.0821,11.6081,11.458,10.016,-0.387474,-0.0234885,0.313331
1.8,34.9737,12.2825,12.1402,10.5511,-0.438234,-0.0235005,0.329003
1.9,36.8086,12.9456,12.8077,11.0553,-0.494863,-0.0122116,0.329987
2.0,38.6196,13.6059,13.4621,11.5517,-0.547637,0.010642,0.336673
2.1,40.42,14.2586,14.1221,12.0393,-0.598606,0.0234795,0.345608
2.2,42.262,14.9368,14.8128,12.5123,-0.642336,0.0306542,0.337746
2.3,44.1137,15.6122,15.5111,12.9905,-0.691357,0.0452321,0.337071
