Time (ns),<D> (1e-5 cm²/s),EE
10.0,2.7852,0.2119
20.0,2.7234,0.444
30.0,2.5848,0.4092
40.0,2.6904,0.5377
50.0,2.7625,0.7197
60.0,2.6026,0.0045
70.0,2.5158,0.5448
80.0,2.5377,0.2753
90.0,2.8338,0.0536
100.0,2.8407,0.049
110.0,2.7096,0.1341
120.0,2.8221,0.183
130.0,2.7083,0.3571
140.0,2.7851,0.2384
150.0,2.9133,0.3942
160.0,2.8683,0.4776
170.0,2.8249,0.422
180.0,2.8117,0.081
190.0,2.7712,0.1554
200.0,2.8882,0.12
210.0,2.7278,0.1336
220.0,2.6796,0.491
230.0,2.6084,0.3867
240.0,2.6375,0.4567
250.0,2.7405,0.0517
260.0,2.844,0.4737
270.0,2.7037,0.2591
280.0,2.42,0.333
290.0,2.7019,0.1925
300.0,2.5114,0.2191
310.0,2.5034,0.5989
320.0,2.5419,0.3086
330.0,2.6663,0.346
340.0,2.6874,0.4009
350.0,2.7587,0.3795
360.0,2.724,0.2134
370.0,2.6313,0.3578
380.0,3.0071,0.2543
390.0,3.0233,0.0182
400.0,2.7152,0.1112
410.0,2.7745,0.085
420.0,2.832,0.1372
430.0,2.7226,0.3752
440.0,2.5992,0.4047
450.0,2.3138,0.639
460.0,2.7901,0.507
470.0,2.6333,0.1171
480.0,2.6506,0.1988
490.0,2.7086,0.2227
500.0,2.7106,0.5503
510.0,2.7421,0.0866
520.0,2.9174,0.4539
530.0,2.5758,0.2465
540.0,2.6993,0.0963
550.0,2.9572,0.0443
560.0,2.8173,0.1267
570.0,2.5535,0.7931
580.0,2.775,0.2665
590.0,2.3869,0.6052
600.0,2.5588,0.4568
610.0,2.5971,0.3963
620.0,2.7037,0.799
630.0,2.7707,0.5399
640.0,2.683,0.3513
650.0,2.4612,0.6126
660.0,2.679,0.1169
670.0,2.8756,0.2701
680.0,2.9455,0.0214
690.0,2.8071,0.0797
700.0,3.0234,0.2874
710.0,2.7145,0.4251
720.0,2.7083,0.0214
730.0,2.69,0.5413
740.0,2.4624,0.523
750.0,2.6614,0.2728
760.0,2.6457,0.6023
770.0,2.8161,0.6408
780.0,2.6258,0.2024
790.0,2.7176,0.2892
800.0,2.6059,0.1272
810.0,2.4009,0.3592
820.0,2.5411,0.1094
830.0,2.6513,0.4806
840.0,2.9388,0.0416
850.0,2.8287,0.3543
860.0,2.7333,0.3957
870.0,2.6356,0.2317
880.0,2.4967,0.535
890.0,2.3973,0.4898
900.0,2.9895,0.0494
910.0,2.6476,0.2326
920.0,3.0859,0.2929
930.0,2.4974,0.2282
940.0,2.7933,0.0069
950.0,2.6828,0.2446
960.0,2.6753,0.2694
970.0,2.5598,0.339
980.0,2.7541,0.1325
990.0,2.8513,0.4099
1000.0,2.7508,0.4522
