Atom id,Diffusion Coefficient (cm²/s)
1,1.59425
2,1.41411
3,1.83771
4,1.38092
5,0.955526
6,1.66258
7,1.19649
8,0.247785
9,3.87973
10,1.63713
11,3.4132
12,1.48646
13,0.0
14,4.57659
15,2.57914
16,2.67872
17,0.83175
18,3.45753
19,0.180702
20,1.40025
21,0.52696
22,0.442179
23,1.59226
24,2.74334
25,3.43373
26,1.16829
27,0.471462
28,4.00434
29,2.40267
30,1.95223
31,3.02529
32,1.22251
33,2.90422
34,0.548498
35,1.33776
36,2.68266
37,1.91419
38,2.3857
39,7.24608
40,1.67561
41,3.09494
42,0.947172
43,0.997605
44,0.709254
45,9.90401
46,1.079
47,3.68342
48,3.60821
49,0.859601
50,3.92558
51,7.85453
52,0.137705
53,2.29842
54,4.53655
55,1.38122
56,1.23814
57,0.807951
58,1.96396
59,0.359718
60,0.571227
61,3.345
62,4.13701
63,2.61084
64,3.62883
65,3.40157
66,4.50852
67,4.19379
68,2.74586
69,0.750012
70,1.70569
71,3.44002
72,4.00995
73,2.39607
74,9.03235
75,5.74126
76,1.7518
77,0.936157
78,3.29264
79,0.330256
80,5.19597
81,0.289746
82,2.56855
83,0.618954
84,1.67265
85,2.28669
86,2.62046
87,2.87936
88,5.42393
89,4.03743
90,1.42641
91,4.30735
92,6.2309
93,1.22293
94,1.42904
95,1.67715
96,1.52213
97,3.72092
98,3.29666
99,2.88692
100,5.13464
101,1.06017
102,1.22066
103,5.226
104,2.32551
105,0.728468
106,2.32005
107,1.48814
108,2.77078
109,2.05052
110,1.70538
111,3.10043
112,2.65618
113,6.47099
114,2.35485
115,1.3745
116,1.92924
117,3.1961
118,4.49878
119,2.34608
120,1.07672
121,1.14895
122,2.16789
123,6.94821
124,0.191208
125,5.62415
126,4.621
127,2.95092
128,4.40059
129,1.05446
130,1.04274
131,0.831526
132,2.91972
133,5.00593
134,4.75177
135,0.167487
136,0.994672
137,1.0833
138,2.67839
139,2.10585
140,2.26358
141,3.8545
142,1.38907
143,3.63695
144,2.26541
145,1.0005
146,4.8345
147,1.00974
148,1.21028
149,1.67683
150,0.423539
151,0.197206
152,0.679868
153,1.29465
154,2.91517
155,0.703523
156,1.6443
157,3.29055
158,2.51054
159,10.9553
160,3.57866
161,2.9946
162,1.14127
163,2.17641
164,6.45565
165,2.01316
166,1.95282
167,8.95781
168,7.6057
169,8.71753
170,1.15388
171,6.90981
172,0.339995
173,6.63401
174,4.75503
175,0.118945
176,3.98325
177,2.89564
178,5.43043
179,2.31324
180,7.40158
181,2.31507
182,3.97272
183,7.34671
184,0.552227
185,0.182757
186,0.611533
187,4.4692
188,3.93275
189,0.550902
190,6.64643
191,2.80773
192,2.68135
193,2.38861
194,1.05493
195,0.898987
196,1.64595
197,7.48498
198,0.581069
199,3.69891
200,4.32342
201,8.76069
202,0.508164
203,2.27923
204,0.819148
205,4.49648
206,1.02229
207,7.16739
208,3.59268
209,3.29827
210,3.03508
211,3.53774
212,2.04546
213,2.56804
214,1.4658
215,3.23363
216,6.2319
217,2.88446
218,2.03255
219,2.80435
220,2.68249
221,1.93526
222,4.65984
223,0.569798
224,1.4614
225,6.97267
226,2.4546
227,3.65026
228,1.7439
229,2.73123
230,0.367509
231,2.7042
232,3.88226
233,1.85654
234,4.28267
235,5.80952
236,2.64182
237,0.671418
238,1.39743
239,1.68169
240,0.295653
241,5.43535
242,2.94386
243,2.06289
244,0.123867
245,4.31926
246,4.80384
247,2.41538
248,0.413924
249,1.73977
250,1.3822
251,2.20341
252,1.01149
253,2.71321
254,3.83352
255,0.755117
256,1.49699
257,0.89902
258,3.22319
259,0.581513
260,2.00113
261,1.46242
262,1.10224
263,6.9351
264,10.3134
265,5.06733
266,2.31577
267,5.91037
268,0.627475
269,2.13958
270,6.59842
271,3.72325
272,2.47958
273,1.18431
274,2.18553
275,1.28163
276,4.24192
277,1.25318
278,1.78736
279,2.09466
280,0.0669687
281,0.730687
282,13.6803
283,5.9287
284,2.01111
285,1.61981
286,2.07951
287,1.11567
288,2.62928
289,2.09197
290,7.96644
291,1.2524
