Time (ns),Atom id,Diffusion Coefficient (cm²/s)
10.0,11,7.39988e-05
10.0,92,0.0400526
10.0,104,0.0525818
10.0,126,0.00476827
10.0,158,0.0606541
20.0,76,0.0476651
20.0,232,0.0488367
30.0,186,0.0
40.0,1,0.0363896
40.0,89,0.0127975
40.0,126,0.0366822
50.0,5,0.0466896
50.0,11,0.015068
50.0,126,0.00936936
50.0,139,0.0467511
50.0,141,0.00156296
60.0,92,0.00509707
60.0,120,0.00230754
60.0,222,0.00929432
70.0,59,0.00200183
80.0,68,0.0231315
80.0,242,0.00403497
90.0,11,0.000105367
90.0,126,0.00621515
90.0,214,0.0
100.0,19,0.00776619
100.0,59,0.0352206
100.0,177,0.0556875
100.0,270,0.0399822
110.0,260,3.5397e-05
120.0,83,0.00144829
120.0,132,0.00715478
120.0,178,0.0
120.0,260,0.00200905
130.0,54,0.00621311
130.0,87,0.0106154
150.0,111,0.0422746
150.0,126,0.0153977
150.0,150,0.0104878
150.0,180,0.00281993
160.0,260,2.50326e-05
180.0,5,0.0
180.0,68,0.00275028
180.0,225,0.0
190.0,59,0.0366845
190.0,89,0.0138966
190.0,119,0.00222046
190.0,260,0.00168809
200.0,120,0.00322406
200.0,216,0.0473609
210.0,46,0.00719192
210.0,211,0.0330523
210.0,212,0.00066766
210.0,260,0.0
220.0,68,0.00459039
230.0,19,0.00143748
230.0,68,0.000192028
240.0,280,0.0535192
250.0,132,0.0016421
260.0,68,0.00877442
260.0,193,0.0193051
270.0,167,0.0317432
270.0,256,0.0
280.0,69,0.00103992
280.0,211,0.00275665
290.0,11,0.0147366
290.0,148,0.0
290.0,161,0.00109496
300.0,39,0.0525354
300.0,185,0.000110697
300.0,260,4.78965e-05
310.0,69,0.00351272
310.0,169,0.0438908
320.0,260,4.55985e-05
330.0,141,0.00101741
340.0,251,0.028171
340.0,256,0.0393107
340.0,287,0.00362561
350.0,7,0.0240972
350.0,38,0.00386843
350.0,231,0.0251287
360.0,261,0.0
370.0,1,0.0369114
370.0,47,0.0472297
380.0,116,0.0
380.0,117,0.0031504
380.0,256,0.0345702
390.0,68,0.0212749
390.0,148,0.0047955
400.0,19,0.000678083
400.0,68,0.0
400.0,178,0.0
410.0,51,0.059856
410.0,78,0.0339653
410.0,132,0.0
410.0,244,0.00668595
410.0,260,0.0132381
430.0,1,0.0019485
430.0,184,0.0276288
440.0,148,0.0208339
440.0,260,0.0
450.0,117,0.00178372
460.0,88,0.000866592
460.0,128,0.000911452
460.0,158,0.0
460.0,266,0.00065981
470.0,102,0.0
470.0,119,0.00806371
470.0,185,0.000467613
470.0,260,0.0
480.0,11,0.0360886
480.0,52,0.0
480.0,126,0.0421915
480.0,150,0.00440945
480.0,223,0.0573848
490.0,17,0.0212856
490.0,69,0.00276847
490.0,203,0.0
490.0,258,0.00549144
500.0,39,0.02675
510.0,12,0.0
510.0,256,0.0100147
510.0,287,0.000849818
520.0,86,0.0133483
520.0,158,0.0360797
530.0,63,7.88615e-05
530.0,68,7.90586e-05
540.0,68,5.52844e-05
540.0,79,0.0541979
540.0,135,0.0
540.0,148,0.034142
550.0,164,0.031067
550.0,197,0.0147064
550.0,280,0.000450554
560.0,19,0.00121935
560.0,68,0.000155621
560.0,225,0.0254386
580.0,13,0.0
590.0,218,0.0559213
590.0,287,0.00107972
600.0,68,4.35953e-05
600.0,110,0.0286911
610.0,11,0.000272148
610.0,126,0.0142944
620.0,1,0.00496326
620.0,16,0.0410302
620.0,61,0.0369576
630.0,22,0.0229542
630.0,126,0.0104849
630.0,172,0.057776
630.0,281,0.0499892
640.0,1,0.0560972
640.0,179,0.0439368
650.0,117,0.0013739
650.0,149,0.0169431
660.0,157,0.0592589
660.0,256,0.000491943
670.0,68,0.00788136
680.0,128,0.014497
680.0,135,0.0
690.0,1,0.0272481
690.0,120,0.0182606
700.0,16,0.0227216
700.0,88,7.23558e-05
700.0,128,0.0276311
710.0,94,0.0402402
720.0,88,7.45027e-05
730.0,38,0.00385758
730.0,231,0.00127159
730.0,275,0.0500678
740.0,7,0.000616732
740.0,120,5.00164e-05
740.0,255,0.00711759
740.0,281,0.0062727
750.0,68,0.000540558
750.0,129,0.0350005
750.0,185,0.0558578
760.0,108,0.0276433
770.0,120,0.0209592
780.0,120,0.000178082
780.0,211,0.0368421
780.0,253,0.00329341
790.0,87,0.00872787
810.0,19,0.0148149
810.0,68,0.0578474
810.0,267,0.0
820.0,46,0.0
820.0,211,0.0145229
820.0,260,0.000277456
830.0,61,0.0516141
830.0,63,0.000145277
830.0,68,0.000192294
840.0,128,0.00671192
840.0,244,0.00508796
860.0,273,0.0348443
860.0,286,0.0607281
870.0,88,0.00346962
870.0,266,0.0154486
890.0,21,0.00755732
890.0,88,0.0145042
890.0,227,0.0
900.0,90,0.0230634
900.0,119,0.0478132
900.0,260,0.0
910.0,6,0.0370511
910.0,7,0.0116933
910.0,38,0.00258154
910.0,77,0.004014
920.0,141,0.0282842
920.0,271,0.0207527
930.0,129,0.0308283
930.0,256,0.0166816
940.0,68,0.000148785
940.0,113,0.0
960.0,151,0.0109455
970.0,126,0.0
970.0,150,0.00232073
970.0,211,0.0137858
980.0,41,0.0555373
980.0,197,0.00271043
980.0,280,0.00164211
990.0,260,0.00033896
