Time (ns),id,Diffusion Coefficient (cm²/s)
cutoff,1.919483627666578,0.8710788906958997
10.0,2.0,0.529424
10.0,5.0,0.46165
10.0,7.0,0.325703
10.0,8.0,0.415344
10.0,11.0,7.39988e-05
10.0,16.0,0.429174
10.0,27.0,0.447365
10.0,29.0,0.473661
10.0,31.0,0.309234
10.0,37.0,0.669236
10.0,47.0,0.425172
10.0,70.0,0.59103
10.0,76.0,0.675394
10.0,92.0,0.0400526
10.0,93.0,0.138628
10.0,95.0,0.208213
10.0,104.0,0.0525818
10.0,126.0,0.00476827
10.0,140.0,0.361459
10.0,143.0,0.201019
10.0,158.0,0.0606541
10.0,176.0,0.438865
10.0,180.0,0.557107
10.0,185.0,0.380761
10.0,186.0,0.80414
10.0,187.0,0.502416
10.0,195.0,0.196929
10.0,209.0,0.309051
10.0,214.0,0.258393
10.0,217.0,0.448014
10.0,228.0,0.555296
10.0,235.0,0.654857
10.0,237.0,0.825984
10.0,250.0,0.435862
10.0,253.0,0.752191
10.0,267.0,0.62212
10.0,273.0,0.379266
10.0,277.0,0.532239
10.0,278.0,0.639947
10.0,291.0,0.640857
20.0,1.0,0.424901
20.0,3.0,0.1254
20.0,10.0,0.704961
20.0,20.0,0.810749
20.0,34.0,0.601812
20.0,37.0,0.755586
20.0,38.0,0.547678
20.0,46.0,0.420086
20.0,70.0,0.64242
20.0,76.0,0.0476651
20.0,80.0,0.695833
20.0,82.0,0.84487
20.0,91.0,0.339718
20.0,96.0,0.341868
20.0,101.0,0.561208
20.0,109.0,0.430633
20.0,113.0,0.673961
20.0,121.0,0.454866
20.0,132.0,0.859056
20.0,136.0,0.395655
20.0,145.0,0.769985
20.0,158.0,0.452995
20.0,163.0,0.419802
20.0,165.0,0.119826
20.0,167.0,0.811912
20.0,168.0,0.624138
20.0,170.0,0.187293
20.0,180.0,0.388543
20.0,184.0,0.312424
20.0,195.0,0.788827
20.0,196.0,0.423117
20.0,201.0,0.788131
20.0,211.0,0.758077
20.0,212.0,0.422497
20.0,219.0,0.686092
20.0,220.0,0.80794
20.0,224.0,0.423313
20.0,231.0,0.836061
20.0,232.0,0.0488367
20.0,235.0,0.780448
20.0,242.0,0.529015
20.0,246.0,0.55299
20.0,251.0,0.410018
20.0,255.0,0.584737
20.0,265.0,0.468389
20.0,266.0,0.723675
20.0,270.0,0.820709
20.0,274.0,0.769231
20.0,280.0,0.670038
20.0,284.0,0.508154
30.0,7.0,0.184989
30.0,10.0,0.80102
30.0,11.0,0.800706
30.0,36.0,0.546243
30.0,37.0,0.7274
30.0,43.0,0.714219
30.0,49.0,0.134003
30.0,54.0,0.845925
30.0,57.0,0.700021
30.0,58.0,0.588603
30.0,59.0,0.517301
30.0,61.0,0.739241
30.0,92.0,0.774565
30.0,93.0,0.802855
30.0,108.0,0.55031
30.0,112.0,0.307838
30.0,113.0,0.176988
30.0,118.0,0.687004
30.0,123.0,0.839681
30.0,131.0,0.679794
30.0,137.0,0.290035
30.0,140.0,0.191203
30.0,147.0,0.416779
30.0,150.0,0.464897
30.0,152.0,0.732463
30.0,154.0,0.740903
30.0,159.0,0.244476
30.0,168.0,0.603074
30.0,170.0,0.605443
30.0,174.0,0.604095
30.0,186.0,0.0
30.0,189.0,0.68126
30.0,194.0,0.595997
30.0,196.0,0.337259
30.0,200.0,0.194601
30.0,204.0,0.349267
30.0,208.0,0.720217
30.0,220.0,0.729798
30.0,225.0,0.541728
30.0,235.0,0.471187
30.0,238.0,0.51472
30.0,244.0,0.421824
30.0,257.0,0.450178
30.0,269.0,0.779298
40.0,1.0,0.0363896
40.0,6.0,0.832272
40.0,9.0,0.761509
40.0,10.0,0.725039
40.0,17.0,0.461082
40.0,19.0,0.53595
40.0,20.0,0.857801
40.0,21.0,0.0938433
40.0,28.0,0.646516
40.0,31.0,0.288158
40.0,33.0,0.670906
40.0,38.0,0.705104
40.0,50.0,0.843603
40.0,51.0,0.594163
40.0,54.0,0.618136
40.0,57.0,0.336497
40.0,63.0,0.849632
40.0,65.0,0.670055
40.0,74.0,0.858681
40.0,75.0,0.772745
40.0,80.0,0.461732
40.0,82.0,0.469259
40.0,83.0,0.765789
40.0,85.0,0.746642
40.0,89.0,0.0127975
40.0,102.0,0.710177
40.0,107.0,0.525511
40.0,110.0,0.193177
40.0,114.0,0.73522
40.0,117.0,0.861094
40.0,119.0,0.647933
40.0,126.0,0.0366822
40.0,128.0,0.653936
40.0,130.0,0.284204
40.0,132.0,0.494486
40.0,136.0,0.805067
40.0,138.0,0.407879
40.0,144.0,0.724483
40.0,158.0,0.780345
40.0,163.0,0.393077
40.0,169.0,0.457392
40.0,181.0,0.594114
40.0,191.0,0.748656
40.0,207.0,0.76142
40.0,208.0,0.751998
40.0,235.0,0.410022
40.0,237.0,0.582321
40.0,249.0,0.491156
40.0,257.0,0.545466
40.0,266.0,0.660635
40.0,268.0,0.462535
40.0,269.0,0.706284
40.0,278.0,0.537671
40.0,279.0,0.188192
40.0,280.0,0.753993
40.0,283.0,0.56799
40.0,288.0,0.759305
50.0,4.0,0.38845
50.0,5.0,0.0466896
50.0,6.0,0.740003
50.0,11.0,0.015068
50.0,13.0,0.577796
50.0,22.0,0.215276
50.0,36.0,0.828811
50.0,41.0,0.408005
50.0,42.0,0.537943
50.0,45.0,0.448985
50.0,52.0,0.239439
50.0,53.0,0.639486
50.0,64.0,0.782636
50.0,65.0,0.870325
50.0,76.0,0.5068
50.0,86.0,0.583479
50.0,89.0,0.599531
50.0,92.0,0.318988
50.0,126.0,0.00936936
50.0,139.0,0.0467511
50.0,140.0,0.537558
50.0,141.0,0.00156296
50.0,142.0,0.599228
50.0,150.0,0.418425
50.0,154.0,0.595029
50.0,169.0,0.693076
50.0,172.0,0.75759
50.0,173.0,0.51079
50.0,177.0,0.561039
50.0,178.0,0.359424
50.0,180.0,0.212224
50.0,181.0,0.689637
50.0,182.0,0.835458
50.0,192.0,0.573586
50.0,195.0,0.656752
50.0,196.0,0.857728
50.0,198.0,0.162263
50.0,208.0,0.421724
50.0,213.0,0.834544
50.0,214.0,0.496678
50.0,221.0,0.170083
50.0,229.0,0.523555
50.0,232.0,0.424116
50.0,235.0,0.66857
50.0,236.0,0.601544
50.0,248.0,0.436493
50.0,250.0,0.204168
50.0,257.0,0.531431
50.0,272.0,0.112937
50.0,273.0,0.117545
50.0,274.0,0.340746
50.0,290.0,0.363995
60.0,1.0,0.70487
60.0,3.0,0.352624
60.0,10.0,0.458507
60.0,11.0,0.854718
60.0,12.0,0.811545
60.0,13.0,0.36168
60.0,17.0,0.783804
60.0,34.0,0.560155
60.0,38.0,0.846359
60.0,43.0,0.4556
60.0,75.0,0.567329
60.0,92.0,0.00509707
60.0,95.0,0.839546
60.0,97.0,0.839783
60.0,100.0,0.556526
60.0,103.0,0.410982
60.0,120.0,0.00230754
60.0,139.0,0.686865
60.0,140.0,0.417457
60.0,152.0,0.266
60.0,156.0,0.276069
60.0,158.0,0.194164
60.0,161.0,0.534013
60.0,173.0,0.339577
60.0,175.0,0.531317
60.0,185.0,0.601839
60.0,189.0,0.700724
60.0,194.0,0.773115
60.0,204.0,0.445214
60.0,205.0,0.465157
60.0,222.0,0.00929432
60.0,225.0,0.840048
60.0,234.0,0.551189
60.0,241.0,0.740703
60.0,246.0,0.74746
60.0,261.0,0.812428
60.0,262.0,0.330943
60.0,267.0,0.68154
60.0,271.0,0.556998
60.0,274.0,0.711056
70.0,16.0,0.213655
70.0,17.0,0.436088
70.0,20.0,0.323389
70.0,24.0,0.513632
70.0,26.0,0.235454
70.0,28.0,0.744895
70.0,44.0,0.387592
70.0,56.0,0.438016
70.0,59.0,0.00200183
70.0,61.0,0.500922
70.0,74.0,0.410335
70.0,75.0,0.562391
70.0,81.0,0.614356
70.0,87.0,0.829482
70.0,91.0,0.225457
70.0,105.0,0.868064
70.0,106.0,0.324708
70.0,127.0,0.686728
70.0,132.0,0.496509
70.0,133.0,0.641528
70.0,134.0,0.524719
70.0,140.0,0.512235
70.0,149.0,0.838878
70.0,152.0,0.579281
70.0,153.0,0.771441
70.0,156.0,0.861441
70.0,158.0,0.207221
70.0,165.0,0.745199
70.0,169.0,0.594043
70.0,188.0,0.673598
70.0,195.0,0.381841
70.0,201.0,0.684076
70.0,203.0,0.505773
70.0,205.0,0.665146
70.0,206.0,0.59851
70.0,221.0,0.66584
70.0,222.0,0.77847
70.0,226.0,0.35385
70.0,238.0,0.498829
70.0,244.0,0.702109
70.0,253.0,0.166708
70.0,256.0,0.18858
70.0,269.0,0.642001
70.0,279.0,0.102297
70.0,280.0,0.713232
80.0,6.0,0.657542
80.0,9.0,0.818143
80.0,11.0,0.39862
80.0,14.0,0.520395
80.0,23.0,0.668421
80.0,27.0,0.174489
80.0,29.0,0.465529
80.0,32.0,0.653034
80.0,40.0,0.72462
80.0,48.0,0.430809
80.0,52.0,0.373255
80.0,60.0,0.28472
80.0,65.0,0.294423
80.0,68.0,0.0231315
80.0,70.0,0.285145
80.0,76.0,0.380555
80.0,78.0,0.710322
80.0,81.0,0.439612
80.0,84.0,0.612245
80.0,85.0,0.390739
80.0,88.0,0.87083
80.0,95.0,0.54615
80.0,96.0,0.652616
80.0,99.0,0.290649
80.0,107.0,0.526225
80.0,108.0,0.492944
80.0,111.0,0.0920727
80.0,112.0,0.389656
80.0,119.0,0.575458
80.0,126.0,0.621097
80.0,136.0,0.114495
80.0,141.0,0.801347
80.0,149.0,0.541951
80.0,151.0,0.238438
80.0,156.0,0.83162
80.0,163.0,0.355369
