Time (ns),trace,xx,yy,zz,yx,zx,zy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.09369,0.702164,0.712622,0.678906,-0.00394773,-0.00978869,0.00327994
0.2,4.13467,1.3991,1.40507,1.3305,-0.00339297,-0.016784,0.00494822
0.3,6.1349,2.08745,2.0964,1.95104,-0.0054841,-0.00800258,0.00882491
0.4,8.11244,2.76779,2.78829,2.55636,-0.00718776,-0.001161,0.0166168
0.5,10.0893,3.4496,3.47894,3.1608,0.000614901,-0.00114822,0.0322759
0.6,12.0672,4.13622,4.16533,3.7657,-0.0032234,0.00461147,0.0463398
0.7,14.0353,4.81838,4.85149,4.36547,-0.00155528,0.00816365,0.0532136
0.8,15.9861,5.50081,5.53405,4.95125,-0.00240481,0.0117798,0.0590106
0.9,17.9165,6.16839,6.20536,5.54273,-0.00291703,0.013319,0.0574077
1.0,19.8423,6.8331,6.8726,6.13659,-0.00819573,0.0147513,0.0631201
1.1,21.7381,7.5005,7.53237,6.70521,-0.00985693,0.0125806,0.0653396
1.2,23.6435,8.17336,8.20638,7.26377,-0.00769988,0.012921,0.0600186
1.3,25.5451,8.85364,8.88318,7.8083,-0.0043815,0.00326681,0.0472459
1.4,27.4415,9.54018,9.5618,8.33947,0.00676038,-0.000539761,0.0501394
1.5,29.3348,10.2372,10.2295,8.86808,0.0232571,0.00178201,0.0523051
1.6,31.2313,10.9329,10.9082,9.39032,0.0479281,-0.00876565,0.0628723
1.7,33.1211,11.6221,11.585,9.91391,0.0759291,-0.0276913,0.075302
1.8,35.0186,12.307,12.2739,10.4377,0.0926468,-0.0430177,0.0795648
1.9,36.9161,13.0038,12.9588,10.9534,0.102369,-0.0572971,0.0695142
2.0,38.7866,13.7072,13.6264,11.453,0.102565,-0.0749385,0.0662422
2.1,40.6223,14.3948,14.2952,11.9323,0.10598,-0.0786225,0.0651702
2.2,42.461,15.0685,14.988,12.4045,0.114367,-0.0794967,0.068071
2.3,44.3165,15.7482,15.7087,12.8596,0.11579,-0.0726506,0.0673167
2.4,46.1413,16.4227,16.4167,13.3019,0.127774,-0.0724131,0.0606082
2.5,47.9177,17.0744,17.1153,13.7281,0.145145,-0.0747344,0.0404214
2.6,49.672,17.7006,17.8303,14.1412,0.153443,-0.0648701,0.0219318
2.7,51.4381,18.3224,18.5705,14.5453,0.149552,-0.0516348,0.0212068
2.8,53.2011,18.9484,19.3111,14.9415,0.145345,-0.0490705,0.0416544
2.9,54.945,19.5582,20.0495,15.3373,0.135782,-0.0478069,0.0592902
3.0,56.7015,20.1661,20.8017,15.7337,0.126889,-0.0602753,0.0872969
3.1,58.4084,20.7585,21.5383,16.1116,0.11926,-0.077435,0.128556
3.2,60.1169,21.3559,22.2869,16.4741,0.113406,-0.104292,0.174081
3.3,61.8183,21.9741,23.0125,16.8317,0.11094,-0.129581,0.238469
3.4,63.5377,22.6023,23.7578,17.1776,0.127985,-0.165111,0.320374
3.5,65.2067,23.1996,24.482,17.5251,0.14751,-0.208605,0.400219
3.6,66.848,23.7778,25.2041,17.8661,0.16687,-0.242348,0.472299
3.7,68.4516,24.3325,25.9153,18.2038,0.194974,-0.267884,0.553115
3.8,70.0402,24.8737,26.6245,18.542,0.213027,-0.286954,0.64796
3.9,71.6284,25.4328,27.3151,18.8804,0.228344,-0.30928,0.727027
4.0,73.1647,25.979,27.9956,19.19,0.244196,-0.317893,0.804731
4.1,74.6861,26.5228,28.6623,19.501,0.257405,-0.304201,0.868696
4.2,76.2386,27.0772,29.3374,19.8239,0.287324,-0.322631,0.931969
4.3,77.81,27.6538,30.0059,20.1502,0.305038,-0.363344,0.989021
4.4,79.4063,28.2204,30.7019,20.4839,0.290708,-0.418163,1.06399
4.5,81.0445,28.8293,31.4078,20.8073,0.268751,-0.480679,1.14628
4.6,82.6883,29.4703,32.1056,21.1124,0.247562,-0.564439,1.21941
4.7,84.327,30.0755,32.8275,21.4241,0.219402,-0.650686,1.29566
4.8,85.9967,30.6541,33.5937,21.749,0.195752,-0.74982,1.36427
4.9,87.6781,31.225,34.3863,22.0667,0.182062,-0.862218,1.43801
5.0,89.3346,31.8093,35.1639,22.3614,0.150126,-0.97055,1.51271
5.1,90.9245,32.3851,35.9168,22.6226,0.12094,-1.08157,1.58407
5.2,92.58,32.9873,36.6879,22.9048,0.0702953,-1.20042,1.66635
5.3,94.2214,33.5926,37.4308,23.1979,0.0241635,-1.31523,1.74601
5.4,95.7977,34.1594,38.1717,23.4666,-0.0346005,-1.4173,1.81492
5.5,97.3852,34.7243,38.9362,23.7247,-0.112433,-1.52852,1.87962
5.6,98.986,35.3251,39.7073,23.9536,-0.187095,-1.62858,1.94938
5.7,100.601,35.9596,40.4778,24.1638,-0.267589,-1.71852,2.02068
5.8,102.261,36.598,41.2821,24.3807,-0.353639,-1.80235,2.07198
5.9,103.904,37.2034,42.0966,24.6045,-0.461104,-1.8753,2.10955
6.0,105.56,37.7864,42.9533,24.8198,-0.573972,-1.9378,2.12632
